,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.679,2.831,126.3,0.0,0.0,0.0,0.0,1
1,-1.37,-2.72,45.84,0.0,0.0,0.0,0.0,2
2,1.956,-1.782,192.08,0.0,0.0,0.0,0.0,3
3,-0.217,-0.482,206.76,0.0,0.0,0.0,0.0,5
4,1.904,2.747,12.07,0.0,0.0,0.0,0.0,9
5,0.521,-0.401,204.4,0.0,0.0,0.0,0.0,11
6,-0.254,0.173,159.63,0.0,0.0,0.0,0.0,13
7,2.246,2.107,92.14,0.0,0.0,0.0,0.0,14
8,0.166,2.893,119.87,0.0,0.0,0.0,0.0,20
9,-0.944,0.675,140.83,0.0,0.0,0.0,0.0,21
10,2.275,2.699,14.55,0.0,0.0,0.0,0.0,25
11,2.335,-2.823,16.59,0.0,0.0,0.0,0.0,40
12,1.029,0.813,47.02,0.0,0.0,0.0,0.0,48
13,-1.285,-1.165,23.42,0.0,0.0,0.0,0.0,53
14,1.863,3.016,76.19,0.0,0.0,0.0,0.0,58
15,-2.135,2.633,43.56,0.0,0.0,0.0,0.0,64
16,-1.748,-2.444,64.64,0.0,0.0,0.0,0.0,81
17,-0.949,0.478,51.13,0.0,0.0,0.0,0.0,81
18,-2.3,1.712,32.62,0.0,0.0,0.0,0.0,82
19,0.067,2.734,266.65,0.0,0.0,0.0,0.0,89
20,0.039,-1.141,226.77,0.0,0.0,0.0,0.0,95
21,1.945,-1.681,29.47,0.0,0.0,0.0,0.0,100
22,-1.74,0.853,20.4,0.0,0.0,0.0,0.0,100
23,1.39,-2.463,10.82,0.0,0.0,0.0,0.0,103
24,1.425,2.186,69.93,0.0,0.0,0.0,0.0,105
25,-2.007,-2.935,59.36,0.0,0.0,0.0,0.0,105
26,-1.102,-1.844,77.01,0.0,0.0,0.0,0.0,108
27,0.644,2.482,150.44,0.0,0.0,0.0,0.0,109
28,1.59,-0.136,99.41,0.0,0.0,0.0,0.0,109
29,0.744,0.71,58.04,0.0,0.0,0.0,0.0,111
30,2.132,2.873,34.61,0.0,0.0,0.0,0.0,112
31,-0.258,1.239,328.4,0.0,0.0,0.0,0.0,120
32,-0.73,-1.741,112.72,0.0,0.0,0.0,0.0,127
33,-0.288,-2.025,86.51,0.0,0.0,0.0,0.0,132
34,1.82,0.926,71.47,0.0,0.0,0.0,0.0,133
35,-1.782,2.381,28.71,0.0,0.0,0.0,0.0,135
36,-1.309,-0.856,84.76,0.0,0.0,0.0,0.0,137
37,2.068,1.745,32.94,0.0,0.0,0.0,0.0,140
38,-0.985,-0.877,245.54,0.0,0.0,0.0,0.0,144
39,1.113,-1.352,190.9,0.0,0.0,0.0,0.0,147
40,-1.091,-2.327,79.75,0.0,0.0,0.0,0.0,152
41,1.823,-1.734,55.98,0.0,0.0,0.0,0.0,153
42,-1.48,-0.195,38.62,0.0,0.0,0.0,0.0,164
43,1.138,-2.834,111.43,0.0,0.0,0.0,0.0,166
44,2.414,2.266,79.57,0.0,0.0,0.0,0.0,172
45,-0.39,3.12,79.56,0.0,0.0,0.0,0.0,172
46,2.196,-2.558,54.52,0.0,0.0,0.0,0.0,190
47,2.218,3.046,21.04,0.0,0.0,0.0,0.0,194
48,0.704,-2.237,369.43,0.0,0.0,0.0,0.0,195
49,2.295,-2.557,19.46,0.0,0.0,0.0,0.0,197
50,-0.903,2.298,207.72,0.0,0.0,0.0,0.0,198
51,0.25,-1.41,230.4,0.0,0.0,0.0,0.0,201
52,1.972,2.616,158.59,0.0,0.0,0.0,0.0,202
53,-2.43,1.169,28.05,0.0,0.0,0.0,0.0,203
54,-1.502,-0.197,101.85,0.0,0.0,0.0,0.0,208
55,1.511,1.437,101.98,0.0,0.0,0.0,0.0,210
56,-1.281,-1.29,60.06,0.0,0.0,0.0,0.0,212
57,-0.739,1.007,368.76,0.0,0.0,0.0,0.0,213
58,0.547,2.376,86.06,0.0,0.0,0.0,0.0,215
59,-1.791,-2.863,55.08,0.0,0.0,0.0,0.0,223
60,0.772,0.405,24.46,0.0,0.0,0.0,0.0,225
61,2.111,-1.307,112.7,0.0,0.0,0.0,0.0,226
62,-1.178,2.362,248.27,0.0,0.0,0.0,0.0,227
63,-1.413,-0.567,115.02,0.0,0.0,0.0,0.0,227
64,-1.579,-3.065,65.12,0.0,0.0,0.0,0.0,227
65,2.098,2.088,39.24,0.0,0.0,0.0,0.0,237
66,1.372,-1.609,275.86,0.0,0.0,0.0,0.0,242
67,-2.495,1.981,28.15,0.0,0.0,0.0,0.0,244
68,1.035,-2.166,40.57,0.0,0.0,0.0,0.0,249
69,-0.885,2.442,64.05,0.0,0.0,0.0,0.0,253
70,-0.48,-1.925,72.14,0.0,0.0,0.0,0.0,256
71,0.219,-0.379,454.82,0.0,0.0,0.0,0.0,264
72,0.633,-0.549,247.92,0.0,0.0,0.0,0.0,273
73,-2.468,1.437,46.51,0.0,0.0,0.0,0.0,273
74,1.063,-1.835,438.74,0.0,0.0,0.0,0.0,280
75,-0.227,-1.48,158.85,0.0,0.0,0.0,0.0,287
76,2.056,-0.722,21.33,0.0,0.0,0.0,0.0,298
77,-1.593,2.163,89.99,0.0,0.0,0.0,0.0,301
78,1.924,-2.637,54.57,0.0,0.0,0.0,0.0,301
79,1.712,0.843,53.46,0.0,0.0,0.0,0.0,302
80,-1.136,1.308,37.24,0.0,0.0,0.0,0.0,308
81,-1.827,0.321,38.61,0.0,0.0,0.0,0.0,315
82,1.985,-2.024,117.49,0.0,0.0,0.0,0.0,322
83,1.286,-2.92,162.88,0.0,0.0,0.0,0.0,325
84,-2.469,0.109,40.96,0.0,0.0,0.0,0.0,329
85,-1.564,-0.299,25.86,0.0,0.0,0.0,0.0,336
86,-1.262,1.521,33.66,0.0,0.0,0.0,0.0,344
87,1.86,-2.062,60.71,0.0,0.0,0.0,0.0,349
88,1.024,0.384,55.16,0.0,0.0,0.0,0.0,354
89,-1.139,-1.263,120.13,0.0,0.0,0.0,0.0,356
90,1.884,-1.828,147.32,0.0,0.0,0.0,0.0,357
91,0.162,2.826,42.8,0.0,0.0,0.0,0.0,357
92,2.339,2.78,34.71,0.0,0.0,0.0,0.0,362
93,-2.047,-3.074,42.64,0.0,0.0,0.0,0.0,364
94,1.095,0.763,114.59,0.0,0.0,0.0,0.0,372
95,-2.008,0.795,151.36,0.0,0.0,0.0,0.0,379
96,1.187,-0.104,236.09,0.0,0.0,0.0,0.0,380
97,1.526,-1.185,64.88,0.0,0.0,0.0,0.0,380
98,-0.55,-1.955,213.09,0.0,0.0,0.0,0.0,381
99,1.937,1.517,42.88,0.0,0.0,0.0,0.0,392
100,2.099,3.053,108.89,0.0,0.0,0.0,0.0,404
101,1.379,-0.253,193.12,0.0,0.0,0.0,0.0,406
102,-1.073,1.314,88.33,0.0,0.0,0.0,0.0,406
103,-0.679,1.829,51.32,0.0,0.0,0.0,0.0,413
104,1.576,2.836,15.02,0.0,0.0,0.0,0.0,415
105,1.834,0.111,94.53,0.0,0.0,0.0,0.0,416
106,2.187,0.771,102.41,0.0,0.0,0.0,0.0,417
107,0.584,2.589,179.03,0.0,0.0,0.0,0.0,423
108,-0.652,0.772,171.2,0.0,0.0,0.0,0.0,423
109,0.116,-1.738,252.03,0.0,0.0,0.0,0.0,428
110,0.959,-1.748,23.63,0.0,0.0,0.0,0.0,428
111,1.58,0.643,22.22,0.0,0.0,0.0,0.0,429
112,-1.152,0.56,69.33,0.0,0.0,0.0,0.0,441
113,-0.239,1.129,174.73,0.0,0.0,0.0,0.0,445
114,0.228,-2.453,257.34,0.0,0.0,0.0,0.0,448
115,-2.166,-1.864,35.12,0.0,0.0,0.0,0.0,455
116,-1.098,-0.447,288.54,0.0,0.0,0.0,0.0,457
117,-1.288,1.436,83.19,0.0,0.0,0.0,0.0,462
118,-0.948,2.205,131.44,0.0,0.0,0.0,0.0,468
