,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,1.908,2.069,27.69,0.11,-1.0,23.0,32.21,2
1,-2.216,2.159,38.29,0.11,1.0,27.0,40.08,3
2,-0.565,0.291,133.35,0.11,1.0,12.0,143.0,4
3,-0.072,-0.041,88.38,0.11,1.0,9.0,105.78,4
4,-0.381,2.092,54.8,0.11,1.0,18.0,106.46,5
5,1.852,-1.531,31.59,0.11,-1.0,25.0,32.0,6
6,-0.027,-2.546,28.7,0.11,-1.0,22.0,114.99,6
7,-1.617,2.569,135.35,0.11,1.0,28.0,152.51,8
8,-1.53,-2.124,13.61,0.11,-1.0,4.0,14.0,9
9,1.323,0.425,119.8,0.11,1.0,19.0,145.0,10
10,-0.065,1.295,664.67,0.11,-1.0,18.0,875.33,13
11,0.639,3.064,112.74,0.11,1.0,9.0,122.24,13
12,0.109,-3.107,91.97,0.11,-1.0,9.0,92.44,13
13,-0.928,0.258,85.0,0.11,-1.0,8.0,93.04,15
14,1.686,0.444,63.98,0.11,1.0,23.0,84.17,17
15,2.04,0.248,10.93,0.11,-1.0,21.0,80.81,17
16,-0.626,-1.886,316.04,0.11,1.0,19.0,316.03,20
17,0.402,0.82,121.76,0.11,-1.0,21.0,213.99,24
18,1.114,0.302,93.92,0.11,1.0,15.0,120.99,24
19,-1.795,2.304,22.95,0.11,1.0,7.0,23.0,26
20,1.448,-3.096,86.52,0.11,1.0,20.0,223.99,28
21,-0.251,-2.488,46.02,0.11,-1.0,19.0,68.1,28
22,-0.933,-2.155,305.95,0.11,1.0,26.0,365.32,30
23,0.434,-0.771,253.64,0.11,-1.0,13.0,500.77,33
24,1.915,2.105,29.71,0.11,1.0,33.0,30.51,37
25,-1.52,-1.395,18.59,0.11,-1.0,24.0,24.31,37
26,1.224,1.806,66.79,0.11,-1.0,14.0,69.0,39
27,-0.866,2.168,27.19,0.11,-1.0,19.0,36.35,40
28,1.647,1.427,19.15,0.11,1.0,14.0,20.18,41
29,0.861,1.655,377.55,0.11,-1.0,26.0,410.06,42
30,1.015,1.804,31.2,0.11,-1.0,15.0,412.14,42
31,1.052,-0.038,47.22,0.11,1.0,22.0,48.24,47
32,-1.594,-2.708,120.59,0.11,1.0,27.0,126.18,49
33,0.103,-0.899,110.59,0.11,-1.0,9.0,266.99,49
34,-0.603,2.655,69.41,0.11,-1.0,8.0,443.99,49
