,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.425,-0.175,276.25,73.72,1.0,0.0,1.71,0
1,0.901,-0.158,197.55,45.71,-1.0,0.0,1.12,0
2,0.058,2.563,324.75,90.48,1.0,0.0,0.35,1
3,-0.887,-0.937,232.59,13.99,1.0,0.0,0.25,2
4,0.168,-2.43,92.19,1.79,1.0,0.0,999.9,2
5,-0.152,2.593,67.9,17.73,-1.0,0.0,0.54,2
6,-1.215,-1.625,57.77,3.53,-1.0,0.0,0.0,2
7,-0.233,-1.359,27.62,0.98,1.0,0.0,0.0,2
8,-0.336,-1.691,694.22,187.08,1.0,0.0,0.44,3
9,0.308,1.44,532.78,132.2,1.0,0.0,0.84,3
10,-0.415,-0.776,322.62,86.16,1.0,0.0,0.07,3
11,0.329,-0.948,112.11,16.45,1.0,0.0,13.21,3
12,0.857,2.086,100.41,18.29,1.0,0.0,0.0,3
13,0.215,2.038,98.91,17.24,1.0,0.0,0.0,3
14,-1.445,1.54,60.86,14.61,-1.0,0.0,0.97,3
15,0.236,-1.744,38.19,8.66,1.0,0.0,2.08,3
16,-0.172,-3.107,459.63,115.02,-1.0,0.0,0.92,4
17,0.18,-2.856,625.0,146.27,-1.0,0.0,0.96,5
18,0.32,1.661,428.35,91.75,-1.0,0.0,0.35,5
19,0.048,-2.084,103.47,26.3,1.0,0.0,0.17,5
20,1.379,-1.445,55.82,11.84,-1.0,0.0,0.51,5
21,0.328,1.61,218.64,38.98,1.0,0.0,0.28,6
22,0.783,1.818,116.05,6.4,1.0,0.0,0.46,6
23,0.565,-2.318,316.38,50.46,1.0,0.0,999.9,7
24,0.272,3.057,60.6,4.01,-1.0,0.0,0.0,7
25,-0.608,0.542,396.5,96.59,1.0,0.0,0.0,8
26,-1.405,0.176,51.89,15.3,-1.0,0.0,0.36,8
27,0.316,1.754,98.63,9.94,-1.0,0.0,999.9,10
28,1.878,-0.566,50.4,5.0,1.0,0.0,0.15,10
29,0.071,-2.948,579.3,140.12,-1.0,0.0,0.99,11
30,1.314,1.491,90.74,24.06,-1.0,0.0,0.34,11
31,-1.175,-2.592,29.75,1.57,1.0,0.0,999.9,11
32,-0.543,1.714,46.53,0.0,-1.0,0.0,999.9,12
33,0.053,-0.774,319.08,74.88,-1.0,0.0,0.23,13
34,0.289,2.27,234.83,33.04,1.0,0.0,1.5,13
35,-0.308,-0.228,188.81,32.82,-1.0,0.0,21.61,13
36,-0.021,0.619,63.71,14.27,1.0,0.0,999.9,13
37,-1.328,-1.764,220.0,30.98,1.0,0.0,0.03,14
38,0.188,-0.392,448.39,137.75,-1.0,0.0,1.19,15
39,-0.694,0.339,271.5,26.91,1.0,0.0,0.29,16
40,-0.379,-0.175,124.72,18.3,-1.0,0.0,2.49,16
41,-0.651,0.052,161.58,49.04,-1.0,0.0,0.0,17
42,-0.411,-2.883,126.4,30.9,1.0,0.0,0.67,17
43,0.194,-0.79,77.21,16.27,-1.0,0.0,2.85,17
44,-0.755,2.04,345.98,85.39,-1.0,0.0,0.32,18
45,-0.573,-2.532,130.55,28.05,-1.0,0.0,0.57,18
46,1.395,0.095,37.59,9.48,1.0,0.0,0.53,18
47,0.553,-2.105,362.19,94.03,-1.0,0.0,0.59,19
48,0.07,0.728,300.5,53.94,1.0,0.0,0.72,19
49,-0.104,2.038,389.69,120.21,1.0,0.0,0.05,20
50,0.688,1.983,80.7,17.49,1.0,0.0,1.04,20
51,0.114,-0.55,401.3,101.61,1.0,0.0,0.31,21
52,0.284,0.402,298.25,58.88,-1.0,0.0,1.82,23
53,-1.341,-0.209,398.11,97.9,1.0,0.0,0.71,24
54,0.849,-1.77,195.85,42.49,1.0,0.0,11.71,24
55,-0.328,-0.17,184.44,46.22,-1.0,0.0,0.59,24
56,-1.058,-2.587,94.77,16.74,-1.0,0.0,0.29,24
57,-1.075,1.266,32.98,0.97,1.0,0.0,4.71,24
58,-0.693,-0.756,390.04,89.95,1.0,0.0,0.18,25
59,-0.454,0.198,360.67,75.15,-1.0,0.0,0.35,25
60,0.156,-2.666,219.98,56.31,1.0,0.0,0.28,25
61,0.897,1.569,192.4,25.66,1.0,0.0,999.9,25
62,0.164,-3.019,527.96,147.99,-1.0,0.0,0.9,26
63,-0.143,-2.166,381.77,107.88,-1.0,0.0,0.26,27
64,0.925,-2.936,122.94,24.09,1.0,0.0,0.0,27
65,0.463,-0.689,114.78,33.02,-1.0,0.0,0.31,27
