,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.337,0.277,1253.0,348.83,63.0,0.0,0.69,0
1,-0.437,-2.069,940.41,241.13,67.0,0.0,0.58,0
2,-0.612,2.938,878.48,207.74,53.0,1.0,0.2,0
3,0.128,2.776,866.62,236.74,33.0,0.0,0.28,0
4,-0.8,-1.211,747.1,255.28,66.0,1.0,0.41,0
5,-0.714,1.194,546.1,121.41,40.0,0.0,0.55,0
6,0.156,-1.135,543.69,175.26,59.0,1.0,0.67,0
7,-0.891,-0.496,447.62,102.91,48.0,0.0,0.9,0
8,0.878,-2.428,297.76,65.4,26.0,0.0,0.75,0
9,-0.275,0.023,239.0,57.02,23.0,0.0,0.12,0
10,-1.081,0.653,236.44,50.12,20.0,0.0,0.01,0
11,-0.916,2.219,236.36,58.03,27.0,1.0,2.01,0
12,-1.336,2.929,229.98,56.07,20.0,1.0,1.01,0
13,-0.341,-2.713,177.96,34.04,60.0,1.0,0.11,0
14,1.103,-0.817,169.22,17.88,11.0,0.0,0.08,0
15,0.453,2.062,158.27,42.61,27.0,1.0,0.5,0
16,-0.22,-0.565,122.04,19.16,43.0,1.0,1.85,0
17,-0.296,1.934,117.49,20.67,33.0,0.0,0.07,0
18,0.964,2.687,106.57,25.68,9.0,0.0,2.47,0
19,0.885,0.612,99.58,14.36,25.0,1.0,1.09,0
20,-1.293,-1.664,94.11,14.96,24.0,0.0,999.9,0
21,0.743,-1.5,83.64,10.49,31.0,1.0,0.35,0
22,-1.404,-0.082,82.5,6.62,15.0,0.0,4.03,0
23,1.616,3.119,80.74,17.22,9.0,0.0,0.53,0
24,0.808,1.375,59.95,11.27,36.0,0.0,0.56,0
25,-1.3,-1.006,47.82,5.77,30.0,1.0,1.87,0
26,-0.232,0.729,43.35,5.54,39.0,0.0,6.83,0
27,-2.129,2.619,36.19,3.98,3.0,0.0,8.55,0
28,-0.39,1.839,1711.09,467.59,75.0,0.0,0.78,1
29,-0.484,-1.487,1247.59,389.65,68.0,0.0,0.46,1
30,-0.633,-0.643,926.67,237.95,34.0,0.0,0.56,1
31,-0.194,-3.138,910.32,220.5,23.0,0.0,0.23,1
32,0.071,2.552,622.96,97.52,18.0,0.0,0.1,1
33,-0.916,2.386,462.56,124.46,37.0,0.0,1.42,1
34,-1.1,0.116,390.36,100.1,26.0,0.0,0.04,1
35,0.827,-0.65,381.86,118.29,50.0,0.0,0.28,1
36,0.293,-2.107,327.54,61.04,18.0,0.0,0.21,1
37,-0.887,-2.34,305.17,64.71,31.0,1.0,1.57,1
38,-1.303,-1.01,285.55,60.11,35.0,1.0,1.07,1
39,-1.597,0.814,191.0,27.07,17.0,0.0,0.0,1
40,-1.551,1.92,185.63,29.36,14.0,1.0,0.88,1
41,0.783,0.059,145.33,25.46,28.0,1.0,0.81,1
42,0.809,3.112,143.15,27.0,15.0,0.0,0.25,1
43,-0.997,2.936,106.34,26.01,22.0,0.0,0.0,1
44,0.966,1.054,78.81,10.52,11.0,0.0,0.42,1
45,1.339,0.318,59.56,8.59,12.0,0.0,1.07,1
46,0.368,1.022,54.76,7.03,7.0,0.0,0.0,1
47,-2.056,0.573,37.08,1.61,2.0,0.0,0.0,1
48,1.885,-2.269,22.56,4.87,7.0,0.0,0.96,1
49,0.1,-1.101,2156.8,565.28,86.0,0.0,0.5,2
50,-0.042,3.103,1220.42,344.76,83.0,0.0,0.51,2
51,0.118,-1.736,1207.81,265.11,65.0,0.0,0.29,2
52,-0.536,0.183,780.75,213.18,52.0,0.0,0.26,2
53,-0.348,0.972,705.74,139.35,31.0,0.0,0.46,2
54,-0.049,2.36,533.29,123.92,37.0,0.0,1.78,2
55,-0.332,-2.534,496.24,146.62,55.0,0.0,0.27,2
56,-0.968,2.659,460.12,105.27,36.0,0.0,0.8,2
57,0.59,-0.738,430.29,76.13,39.0,0.0,0.9,2
58,0.809,1.943,429.17,122.26,24.0,0.0,0.62,2
59,-0.955,1.878,398.06,79.71,29.0,0.0,0.94,2
60,0.792,0.639,302.3,62.99,24.0,0.0,1.48,2
61,-1.078,-0.464,270.78,53.8,20.0,0.0,0.35,2
62,-1.223,0.786,251.68,66.38,21.0,0.0,0.83,2
63,0.444,-2.23,246.62,50.44,23.0,0.0,0.12,2
64,1.266,-3.069,241.83,59.84,30.0,1.0,1.33,2
65,0.191,0.182,210.7,49.54,32.0,0.0,0.64,2
66,-0.661,-1.92,189.99,45.64,22.0,0.0,0.0,2
67,0.935,-0.208,126.53,18.42,16.0,0.0,9.34,2
68,1.585,2.552,94.25,19.78,11.0,0.0,0.45,2
69,-1.576,2.054,84.97,24.07,13.0,1.0,0.0,2
70,-0.047,-0.503,74.11,9.98,41.0,0.0,1.06,2
71,-1.834,2.863,64.3,17.75,9.0,0.0,1.25,2
72,1.605,0.607,63.18,12.81,12.0,0.0,0.52,2
73,-0.914,-1.37,62.07,7.19,12.0,0.0,0.0,2
74,-1.986,-0.934,60.8,13.27,14.0,0.0,1.81,2
