,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,0.11,564.23,0.0,0.0,0.0,0.0
1,0.0,2.912,439.02,0.0,0.0,0.0,0.0
2,0.0,1.581,1551.99,0.0,0.0,0.0,0.0
3,0.0,-2.122,462.79,0.0,0.0,0.0,0.0
4,0.0,0.122,274.31,0.0,0.0,0.0,0.0
5,0.0,1.88,819.44,0.0,0.0,0.0,0.0
6,0.0,-1.855,568.54,0.0,0.0,0.0,0.0
7,0.0,-2.069,191.44,0.0,0.0,0.0,0.0
8,0.0,-1.355,257.78,0.0,0.0,0.0,0.0
9,0.0,-1.287,688.72,0.0,0.0,0.0,0.0
10,0.0,0.554,498.37,0.0,0.0,0.0,0.0
11,0.0,-2.06,644.43,0.0,0.0,0.0,0.0
12,0.0,1.466,745.6,0.0,0.0,0.0,0.0
13,0.0,-1.347,201.86,0.0,0.0,0.0,0.0
14,0.0,0.147,455.24,0.0,0.0,0.0,0.0
15,0.0,-1.381,376.86,0.0,0.0,0.0,0.0
16,0.0,2.619,615.04,0.0,0.0,0.0,0.0
17,0.0,1.111,781.04,0.0,0.0,0.0,0.0
18,0.0,-1.855,1092.4,0.0,0.0,0.0,0.0
19,0.0,-2.617,495.5,0.0,0.0,0.0,0.0
20,0.0,1.607,491.77,0.0,0.0,0.0,0.0
21,0.0,2.624,1042.86,0.0,0.0,0.0,0.0
22,0.0,-2.531,328.32,0.0,0.0,0.0,0.0
23,0.0,-3.133,288.67,0.0,0.0,0.0,0.0
24,0.0,-1.758,394.11,0.0,0.0,0.0,0.0
25,0.0,2.622,995.32,0.0,0.0,0.0,0.0
26,0.0,1.286,503.22,0.0,0.0,0.0,0.0
27,0.0,2.222,303.62,0.0,0.0,0.0,0.0
28,0.0,1.933,504.15,0.0,0.0,0.0,0.0
29,0.0,1.563,684.35,0.0,0.0,0.0,0.0
30,0.0,-2.202,226.25,0.0,0.0,0.0,0.0
31,0.0,0.704,530.57,0.0,0.0,0.0,0.0
32,0.0,-0.062,649.22,0.0,0.0,0.0,0.0
33,0.0,-0.329,406.93,0.0,0.0,0.0,0.0
34,0.0,-0.901,172.17,0.0,0.0,0.0,0.0
35,0.0,-0.32,171.95,0.0,0.0,0.0,0.0
36,0.0,3.097,890.91,0.0,0.0,0.0,0.0
37,0.0,-1.04,261.79,0.0,0.0,0.0,0.0
38,0.0,-2.371,812.0,0.0,0.0,0.0,0.0
39,0.0,-0.198,598.08,0.0,0.0,0.0,0.0
40,0.0,-1.167,641.28,0.0,0.0,0.0,0.0
41,0.0,0.212,487.31,0.0,0.0,0.0,0.0
42,0.0,-2.694,552.2,0.0,0.0,0.0,0.0
