,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.508,-3.12,665.35,0.11,1.0,4.0,1528.0,1
1,-1.677,-0.479,750.58,0.11,1.0,13.0,762.01,4
2,-1.855,-1.695,533.18,0.11,1.0,7.0,533.01,5
3,-1.596,0.84,517.19,0.11,1.0,8.0,517.0,6
4,-0.315,1.101,1832.47,0.11,1.0,9.0,1980.12,9
5,0.777,3.111,113.22,0.11,-1.0,4.0,113.1,10
6,-0.438,1.378,242.98,0.11,1.0,7.0,243.0,11
7,-1.883,2.325,640.44,0.11,1.0,4.0,640.0,13
8,0.578,0.924,78.4,0.11,1.0,3.0,81.0,16
9,0.04,1.382,2560.01,0.11,1.0,8.0,2694.2,17
10,-0.63,2.66,438.46,0.11,1.0,5.0,439.0,18
11,-0.947,2.7,1058.86,0.11,1.0,5.0,1060.01,20
12,0.478,-2.968,799.17,0.11,1.0,4.0,803.01,23
13,-0.149,-1.927,1067.69,0.11,1.0,7.0,1075.0,24
14,-1.147,2.625,984.71,0.11,1.0,6.0,987.0,26
15,0.576,-1.413,214.5,0.11,1.0,7.0,217.02,27
16,0.338,-2.018,1151.87,0.11,1.0,6.0,1174.13,28
17,0.726,-3.011,162.46,0.11,-1.0,6.0,162.05,28
18,0.246,-0.775,399.15,0.11,1.0,11.0,399.0,34
19,0.286,-2.465,1663.12,0.11,1.0,9.0,1696.03,43
20,-0.317,1.562,236.85,0.11,-1.0,4.0,241.02,43
21,-1.102,-1.416,85.42,0.11,-1.0,8.0,97.99,44
22,0.32,0.446,1531.87,0.11,1.0,5.0,1658.4,46
23,-0.819,0.601,168.49,0.11,-1.0,6.0,176.06,46
24,0.456,2.375,16.47,0.11,-1.0,7.0,20.0,52
25,0.077,2.348,815.6,0.11,1.0,11.0,832.09,59
26,0.468,-1.101,145.59,0.11,1.0,9.0,158.0,60
27,0.18,-1.1,1031.49,0.11,1.0,4.0,1033.0,66
28,0.652,-2.507,816.17,0.11,1.0,8.0,874.11,68
29,1.27,1.597,346.22,0.11,1.0,13.0,347.01,72
30,-0.353,-1.391,854.98,0.11,1.0,5.0,977.18,74
31,-0.645,-1.986,439.64,0.11,1.0,7.0,440.0,76
32,-1.315,-1.864,1029.41,0.11,1.0,13.0,1043.01,78
33,-0.345,-2.593,528.91,0.11,-1.0,5.0,590.15,81
34,1.393,2.512,1040.03,0.11,1.0,5.0,1040.0,83
35,-0.713,2.774,516.03,0.11,1.0,3.0,516.02,85
36,0.873,-1.545,48.78,0.11,1.0,5.0,49.0,86
37,-1.396,-2.287,397.9,0.11,-1.0,3.0,407.01,88
38,1.25,0.777,112.8,0.11,1.0,9.0,116.0,88
39,0.872,-0.239,157.02,0.11,1.0,11.0,158.0,89
40,-1.423,-0.59,230.64,0.11,1.0,9.0,231.03,90
41,2.194,1.231,147.44,0.11,1.0,15.0,148.01,93
42,0.137,-1.06,1394.72,0.11,1.0,11.0,1399.01,97
43,-0.02,0.138,33.71,0.11,-1.0,6.0,35.0,99
44,0.037,-1.766,94.44,0.11,1.0,3.0,94.05,100
45,-0.911,3.067,439.23,0.11,1.0,11.0,452.04,107
46,1.799,-0.065,380.01,0.11,1.0,12.0,380.0,111
47,0.327,-2.085,1211.54,0.11,1.0,6.0,1213.01,117
48,-0.151,3.062,80.0,0.11,1.0,13.0,85.11,119
49,-0.081,2.89,945.05,0.11,1.0,3.0,1039.12,121
50,1.11,-0.023,194.74,0.11,1.0,9.0,227.14,123
51,-1.041,0.949,149.28,0.11,-1.0,3.0,153.02,123
52,-1.708,2.777,208.0,0.11,1.0,10.0,209.01,126
53,1.01,-2.918,731.65,0.11,1.0,12.0,732.0,127
54,0.109,2.383,735.94,0.11,1.0,10.0,866.11,131
55,-0.626,-1.143,461.9,0.11,1.0,13.0,465.0,132
56,1.059,1.807,876.48,0.11,1.0,3.0,876.0,136
57,-0.599,-2.252,951.88,0.11,1.0,7.0,952.01,138
