,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.226,2.813,864.41,9.0,1.0,0.0,999.9,1
1,-0.485,-1.474,1655.02,278.36,-1.0,0.0,0.68,2
2,0.831,-2.84,1062.92,193.54,-1.0,0.0,0.27,2
3,0.565,1.676,866.89,33.4,1.0,0.0,0.03,4
4,0.474,-0.399,1047.97,6.62,1.0,0.0,0.0,5
5,1.026,2.318,443.63,8.28,1.0,0.0,0.64,7
6,-1.171,0.111,456.24,4.82,1.0,0.0,0.0,9
7,-1.29,-1.929,433.89,24.84,-1.0,0.0,0.25,11
8,0.855,-2.487,39.6,7.14,1.0,0.0,0.0,11
9,-0.126,-0.103,23.73,4.97,1.0,0.0,0.41,13
10,-0.924,-2.367,184.33,20.25,1.0,0.0,3.79,18
11,-0.442,-0.65,359.66,28.6,1.0,0.0,0.0,19
12,0.109,2.826,928.77,20.88,1.0,0.0,1.69,21
13,0.426,-1.137,868.18,147.58,1.0,0.0,0.06,25
14,-0.726,-2.293,83.54,2.13,1.0,0.0,0.32,26
15,1.242,1.58,650.44,16.4,1.0,0.0,0.01,32
16,0.218,2.025,242.56,38.74,1.0,0.0,0.93,33
17,0.659,1.166,942.89,134.4,-1.0,0.0,2.36,34
18,0.049,0.538,2036.47,98.78,1.0,0.0,999.9,37
19,0.346,-1.183,500.31,27.84,1.0,0.0,0.04,39
20,-0.787,0.954,38.31,4.2,-1.0,0.0,999.9,41
21,-0.712,-0.968,169.13,22.78,-1.0,0.0,2.3,42
22,-0.303,2.132,34.05,1.95,-1.0,0.0,0.0,44
23,0.357,-2.87,1011.44,5.02,1.0,0.0,0.0,46
24,-0.355,-0.163,794.92,2.76,1.0,0.0,0.0,48
25,0.62,-2.971,1409.34,5.72,1.0,0.0,0.0,50
26,-1.098,2.696,647.09,2.26,1.0,0.0,0.0,52
27,2.248,1.301,183.22,12.98,-1.0,0.0,0.44,53
28,-0.921,-0.064,660.6,103.3,1.0,0.0,0.05,56
29,1.038,1.364,174.72,13.8,1.0,0.0,0.0,58
30,-0.778,1.323,1211.23,123.2,1.0,0.0,0.28,59
31,0.26,0.481,586.17,28.28,1.0,0.0,0.03,59
32,-0.216,0.56,608.42,69.19,1.0,0.0,999.9,64
33,-0.006,-2.072,1821.86,0.18,1.0,0.0,0.0,68
34,0.053,0.239,1691.54,89.67,1.0,0.0,0.78,71
35,-0.244,-2.942,897.32,107.93,1.0,0.0,0.0,71
36,0.47,0.472,292.17,26.52,1.0,0.0,0.19,71
37,-0.315,-0.754,455.03,72.2,-1.0,0.0,0.73,74
38,0.668,-3.134,154.42,13.88,1.0,0.0,0.08,76
39,-1.334,0.52,124.95,0.64,1.0,0.0,0.0,76
40,0.029,-2.316,1291.32,188.82,1.0,0.0,0.78,78
41,2.127,0.801,24.65,1.5,-1.0,0.0,24.9,78
42,1.14,1.235,802.05,73.97,-1.0,0.0,0.01,80
43,-1.238,2.177,242.54,10.8,1.0,0.0,0.0,82
44,-3.203,-2.718,91.35,16.48,-1.0,0.0,1.05,82
45,-0.929,1.381,336.43,22.45,-1.0,0.0,1.45,85
46,-0.106,-1.786,439.93,23.25,-1.0,0.0,0.0,86
47,-0.984,-1.417,962.97,42.73,1.0,0.0,0.44,89
48,0.79,-0.831,194.93,8.51,1.0,0.0,999.9,91
49,-0.761,0.683,1616.47,259.7,1.0,0.0,0.38,94
50,0.48,-2.196,207.93,27.55,1.0,0.0,0.04,96
51,1.32,0.677,68.94,0.52,1.0,0.0,0.0,105
52,-0.496,-0.808,983.72,3.11,1.0,0.0,0.0,108
53,1.333,2.226,782.28,28.12,1.0,0.0,999.9,110
54,1.329,0.333,80.8,8.61,1.0,0.0,3.02,110
55,-1.386,0.495,229.17,30.95,1.0,0.0,0.02,112
56,-0.705,-1.856,1492.47,5.73,1.0,0.0,999.9,113
57,0.301,-2.008,68.37,9.34,1.0,0.0,2.33,114
58,-0.216,-2.016,356.52,6.88,1.0,0.0,0.0,115
59,0.34,0.538,612.58,5.01,1.0,0.0,999.9,117
60,1.681,-0.865,83.55,4.2,1.0,0.0,999.9,118
61,0.736,-2.143,589.48,39.31,1.0,0.0,0.1,120
62,0.717,-1.942,272.53,29.66,1.0,0.0,0.19,125
63,-0.599,1.531,122.79,12.95,1.0,0.0,0.09,125
64,-1.627,-0.81,445.16,24.6,1.0,0.0,0.72,128
65,0.891,-0.217,241.35,13.23,1.0,0.0,0.03,129
66,-0.436,-2.267,33.68,0.24,1.0,0.0,0.0,132
67,-0.468,-1.085,250.5,16.49,1.0,0.0,0.36,135
68,2.186,-1.113,84.39,1.14,1.0,0.0,0.0,139
69,-0.668,2.776,441.25,38.55,1.0,0.0,0.07,143
70,-0.681,-2.182,745.97,34.35,-1.0,0.0,0.43,149
71,0.089,-0.511,1710.59,245.38,1.0,0.0,0.11,151
72,-0.925,2.821,721.33,28.29,-1.0,0.0,0.0,151
73,-0.656,2.802,1678.49,131.79,1.0,0.0,0.88,152
74,-0.539,-0.403,395.22,7.87,1.0,0.0,0.0,152
75,-1.024,-3.141,47.57,9.54,1.0,0.0,3.71,152
76,0.808,1.016,69.25,9.14,1.0,0.0,0.0,153
77,2.235,1.284,266.79,4.52,1.0,0.0,999.9,154
78,-1.192,2.166,47.55,10.48,-1.0,0.0,15.74,157
79,-1.087,1.546,130.41,4.29,1.0,0.0,999.9,160
80,-0.031,-2.508,1468.69,52.85,1.0,0.0,0.0,164
81,-0.408,-2.707,493.85,7.88,1.0,0.0,0.0,164
82,0.924,0.374,179.42,17.53,-1.0,0.0,0.13,170
83,-1.085,-1.515,1409.98,70.21,1.0,0.0,0.56,172
84,-1.036,-2.015,980.8,9.69,1.0,0.0,999.9,172
85,2.265,-1.936,40.61,6.58,-1.0,0.0,0.23,176
86,-0.874,0.904,1020.14,135.43,1.0,0.0,0.57,184
87,0.242,-2.716,448.04,55.38,1.0,0.0,0.0,185
88,2.385,-2.712,171.6,14.12,1.0,0.0,2.24,187
89,0.186,-1.001,960.91,99.07,1.0,0.0,0.0,190
90,-1.358,1.536,25.8,2.51,-1.0,0.0,4.22,192
91,0.89,1.361,698.38,36.65,1.0,0.0,0.01,196
92,0.425,2.614,308.23,34.91,-1.0,0.0,0.12,205
93,0.058,2.692,390.38,17.69,-1.0,0.0,0.0,210
94,2.088,1.588,221.15,23.3,1.0,0.0,0.88,211
95,-0.558,0.552,650.31,43.11,1.0,0.0,0.18,212
96,2.26,1.106,524.11,34.61,1.0,0.0,12.93,212
97,-0.048,-1.602,721.46,34.93,-1.0,0.0,4.16,213
98,0.006,0.076,364.4,32.64,1.0,0.0,0.66,213
99,1.801,-1.231,580.58,8.06,1.0,0.0,0.0,216
100,0.383,1.731,647.06,83.33,-1.0,0.0,0.0,217
101,-0.154,0.753,673.29,37.44,1.0,0.0,2.55,219
102,-0.191,2.58,389.08,34.6,-1.0,0.0,0.0,220
103,-1.552,-0.101,30.86,7.25,-1.0,0.0,999.9,221
104,-0.548,-2.478,370.83,2.11,1.0,0.0,0.0,223
105,0.743,0.726,1117.2,59.06,1.0,0.0,999.9,224
106,0.655,-1.036,54.47,3.87,1.0,0.0,14.2,224
107,-0.955,0.305,579.52,2.84,1.0,0.0,0.0,225
108,0.414,-0.188,126.15,17.86,1.0,0.0,1.78,227
109,0.446,2.418,600.13,138.75,1.0,0.0,0.62,229
110,0.268,1.28,1103.36,148.68,1.0,0.0,0.54,230
111,-1.015,-1.465,314.55,9.42,1.0,0.0,999.9,232
112,1.018,2.531,1208.66,23.3,1.0,0.0,0.0,233
113,0.581,-1.417,546.39,87.35,1.0,0.0,0.0,234
114,0.453,0.978,216.28,25.18,-1.0,0.0,0.03,235
115,-0.631,0.653,595.58,103.35,-1.0,0.0,0.23,239
116,-2.037,2.118,86.58,4.53,1.0,0.0,0.02,239
117,0.151,-1.529,1135.22,118.31,1.0,0.0,0.05,241
118,0.677,2.513,328.43,31.54,-1.0,0.0,0.08,242
119,-0.537,0.28,417.03,25.54,-1.0,0.0,0.13,243
120,0.494,-1.741,122.32,5.27,-1.0,0.0,0.28,247
121,0.837,-2.103,64.59,8.11,-1.0,0.0,2.34,247
122,-1.572,0.798,438.79,8.43,1.0,0.0,999.9,248
123,0.87,2.45,39.85,8.14,1.0,0.0,0.62,251
124,0.739,-1.637,683.56,50.12,1.0,0.0,24.27,252
125,1.089,-0.319,1093.9,47.28,-1.0,0.0,3.36,254
126,-0.724,1.96,886.82,101.7,1.0,0.0,0.62,255
127,-0.075,-0.357,265.88,20.03,1.0,0.0,999.9,257
128,0.479,2.288,1767.51,57.18,-1.0,0.0,2.88,260
129,-0.09,2.32,294.88,41.72,1.0,0.0,0.61,268
130,-0.853,-1.355,160.52,4.74,-1.0,0.0,0.0,274
131,0.126,-2.902,1154.02,84.73,1.0,0.0,0.41,275
132,0.52,-2.756,233.81,18.99,1.0,0.0,0.02,275
133,-1.042,1.802,218.77,22.69,1.0,0.0,1.46,277
134,-1.124,0.612,82.99,12.42,1.0,0.0,1.05,277
135,-0.776,1.425,80.53,9.34,1.0,0.0,0.0,277
136,-0.385,0.659,710.7,89.25,1.0,0.0,0.5,278
137,0.182,-2.678,412.0,6.7,1.0,0.0,0.19,279
138,0.51,2.601,115.83,0.11,1.0,0.0,999.9,280
139,-0.049,-3.061,117.88,8.18,-1.0,0.0,0.7,285
140,0.561,-1.58,624.64,1.72,1.0,0.0,0.0,286
141,-0.096,2.187,159.86,14.48,1.0,0.0,0.72,286
142,0.404,0.764,132.17,4.61,1.0,0.0,0.14,287
143,-0.441,-2.111,274.62,35.47,-1.0,0.0,0.54,288
144,-0.063,-1.666,152.53,6.37,-1.0,0.0,0.44,288
145,-1.716,-1.511,170.97,13.63,-1.0,0.0,0.02,290
146,0.874,0.084,178.48,2.02,1.0,0.0,0.0,291
147,4.476,-2.348,23.24,4.48,-1.0,0.0,4.69,291
148,-0.137,-2.901,381.05,28.73,1.0,0.0,0.83,294
149,-1.362,0.141,61.59,2.14,1.0,0.0,999.9,295
150,-2.817,3.106,28.78,0.88,-1.0,0.0,10.12,297
151,-0.072,-0.987,260.7,19.63,-1.0,0.0,1.14,298
152,1.308,-0.177,132.45,10.31,1.0,0.0,1.22,298
153,-1.735,1.841,27.16,0.82,-1.0,0.0,0.0,299
154,1.146,2.891,764.41,38.1,1.0,0.0,0.54,302
