,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,0.928,510.9,0.0,0.0,0.0,0.0
1,0.0,0.184,980.3,0.0,0.0,0.0,0.0
2,0.0,-2.754,72.17,0.0,0.0,0.0,0.0
3,0.0,0.748,517.44,0.0,0.0,0.0,0.0
4,0.0,0.866,509.43,0.0,0.0,0.0,0.0
5,0.0,-2.365,761.54,0.0,0.0,0.0,0.0
6,0.0,-0.03,311.9,0.0,0.0,0.0,0.0
7,0.0,0.108,570.34,0.0,0.0,0.0,0.0
8,0.0,-0.978,230.98,0.0,0.0,0.0,0.0
9,0.0,-2.415,329.69,0.0,0.0,0.0,0.0
10,0.0,2.965,438.79,0.0,0.0,0.0,0.0
11,0.0,-0.111,217.0,0.0,0.0,0.0,0.0
12,0.0,1.881,376.05,0.0,0.0,0.0,0.0
13,0.0,2.163,237.47,0.0,0.0,0.0,0.0
14,0.0,-2.213,253.07,0.0,0.0,0.0,0.0
15,0.0,3.067,433.79,0.0,0.0,0.0,0.0
16,0.0,3.033,605.21,0.0,0.0,0.0,0.0
17,0.0,2.123,517.98,0.0,0.0,0.0,0.0
18,0.0,-2.959,360.35,0.0,0.0,0.0,0.0
19,0.0,0.406,778.0,0.0,0.0,0.0,0.0
20,0.0,0.779,361.23,0.0,0.0,0.0,0.0
21,0.0,2.33,226.14,0.0,0.0,0.0,0.0
22,0.0,0.934,231.89,0.0,0.0,0.0,0.0
23,0.0,0.279,800.97,0.0,0.0,0.0,0.0
24,0.0,-0.602,412.29,0.0,0.0,0.0,0.0
25,0.0,-0.056,103.57,0.0,0.0,0.0,0.0
26,0.0,2.167,128.78,0.0,0.0,0.0,0.0
27,0.0,3.03,341.56,0.0,0.0,0.0,0.0
28,0.0,2.087,684.34,0.0,0.0,0.0,0.0
29,0.0,2.042,369.2,0.0,0.0,0.0,0.0
30,0.0,-2.996,194.07,0.0,0.0,0.0,0.0
31,0.0,0.661,894.15,0.0,0.0,0.0,0.0
32,0.0,0.626,559.82,0.0,0.0,0.0,0.0
33,0.0,-3.132,179.36,0.0,0.0,0.0,0.0
34,0.0,-2.031,206.63,0.0,0.0,0.0,0.0
35,0.0,1.278,181.74,0.0,0.0,0.0,0.0
36,0.0,0.482,230.51,0.0,0.0,0.0,0.0
37,0.0,1.123,394.81,0.0,0.0,0.0,0.0
38,0.0,-2.07,135.71,0.0,0.0,0.0,0.0
39,0.0,2.922,572.86,0.0,0.0,0.0,0.0
40,0.0,1.65,813.19,0.0,0.0,0.0,0.0
41,0.0,0.005,886.85,0.0,0.0,0.0,0.0
42,0.0,1.24,848.47,0.0,0.0,0.0,0.0
43,0.0,-2.78,478.07,0.0,0.0,0.0,0.0
44,0.0,1.735,561.24,0.0,0.0,0.0,0.0
45,0.0,-0.033,423.64,0.0,0.0,0.0,0.0
46,0.0,-2.974,399.31,0.0,0.0,0.0,0.0
47,0.0,0.208,351.26,0.0,0.0,0.0,0.0
48,0.0,0.828,769.01,0.0,0.0,0.0,0.0
