,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.377,-1.263,873.42,260.39,55.0,0.0,0.56
1,0.054,-3.089,543.75,118.62,23.0,1.0,0.06
2,-0.827,-1.548,374.39,91.66,24.0,0.0,1.71
3,-0.726,1.435,328.87,72.7,21.0,0.0,0.48
4,-0.121,2.565,321.88,72.38,22.0,0.0,0.0
5,0.638,3.131,301.15,63.32,17.0,1.0,0.0
6,-1.282,0.486,290.87,89.17,14.0,1.0,0.23
7,0.633,0.78,258.04,54.33,24.0,0.0,0.89
8,0.001,1.359,241.24,49.74,22.0,0.0,0.6
9,-1.377,2.115,172.16,44.49,15.0,0.0,0.05
10,0.078,-0.506,162.21,23.58,19.0,1.0,0.45
11,-0.432,-2.015,123.18,21.04,7.0,0.0,4.78
12,0.456,-2.254,115.58,18.04,13.0,0.0,2.99
13,0.396,1.835,101.93,28.33,29.0,1.0,0.52
14,-1.07,-2.127,99.76,17.3,21.0,1.0,0.15
15,-1.84,2.832,97.68,11.54,11.0,0.0,0.59
16,-1.162,-1.007,93.83,11.82,8.0,0.0,12.56
17,-0.535,-2.727,85.34,17.86,14.0,1.0,999.9
18,-2.147,-1.331,76.46,21.0,11.0,1.0,1.58
19,1.398,-2.069,59.88,10.75,5.0,0.0,5.28
20,0.916,-1.54,53.66,10.39,17.0,1.0,0.28
21,-1.735,-0.565,37.85,5.62,7.0,0.0,1.19
22,-1.427,-1.494,33.37,3.31,10.0,0.0,0.06
23,0.817,1.353,29.42,4.09,16.0,0.0,0.0
24,-1.687,-2.229,25.06,3.22,7.0,1.0,0.17
25,-0.642,0.489,22.81,4.03,13.0,0.0,0.0
26,-0.393,-2.814,870.6,218.05,56.0,0.0,0.52
27,0.075,-0.856,444.4,137.75,34.0,0.0,0.21
28,-0.893,-0.233,405.83,112.22,30.0,1.0,0.42
29,-0.125,-1.806,313.49,103.62,21.0,0.0,0.89
30,0.917,1.965,258.18,66.16,36.0,1.0,0.45
31,-0.496,1.637,236.46,60.86,25.0,0.0,0.97
32,-0.899,-2.258,233.27,48.47,30.0,1.0,3.2
33,0.481,1.172,215.4,52.22,22.0,0.0,0.27
34,-1.132,-2.892,201.95,29.67,27.0,1.0,0.45
35,-1.626,2.648,179.06,11.72,10.0,0.0,1.36
36,-0.033,0.328,160.17,30.9,18.0,0.0,0.69
37,-0.307,2.172,149.12,24.01,23.0,0.0,2.57
38,0.458,-3.004,140.27,11.44,4.0,0.0,2.77
39,0.04,1.732,140.04,18.33,22.0,0.0,0.27
40,0.622,-1.145,115.37,29.7,14.0,0.0,0.37
41,-0.159,-0.269,112.03,16.6,29.0,0.0,7.83
42,-1.135,1.622,105.47,17.76,15.0,0.0,3.0
43,0.682,-0.122,96.89,23.13,10.0,0.0,1.03
44,-1.567,0.168,83.08,21.85,17.0,0.0,1.31
45,-0.994,0.89,72.87,16.19,16.0,0.0,0.0
46,1.55,3.046,68.19,24.5,14.0,0.0,0.56
47,-1.806,-1.418,56.15,14.54,7.0,0.0,0.11
