,eta,phi,PT,jmass,ntrk,btag,hadem
0,-0.533,2.911,53.69,0.0,0.0,0.0,0.0
1,-0.417,1.772,395.48,0.0,0.0,0.0,0.0
2,-0.144,0.647,220.44,0.0,0.0,0.0,0.0
3,-1.176,-2.28,101.78,0.0,0.0,0.0,0.0
4,-1.904,1.293,52.76,0.0,0.0,0.0,0.0
5,-1.959,-2.062,36.09,0.0,0.0,0.0,0.0
6,-0.824,2.702,322.98,0.0,0.0,0.0,0.0
7,-0.345,-2.507,68.47,0.0,0.0,0.0,0.0
8,-2.06,1.789,30.2,0.0,0.0,0.0,0.0
9,1.005,-0.997,29.34,0.0,0.0,0.0,0.0
10,-0.656,-2.349,313.78,0.0,0.0,0.0,0.0
11,1.463,1.066,54.36,0.0,0.0,0.0,0.0
12,0.633,-1.422,115.41,0.0,0.0,0.0,0.0
13,-0.136,1.184,186.41,0.0,0.0,0.0,0.0
14,0.586,2.384,125.44,0.0,0.0,0.0,0.0
15,-1.065,1.67,41.46,0.0,0.0,0.0,0.0
16,0.722,0.614,26.68,0.0,0.0,0.0,0.0
17,-0.956,2.751,188.3,0.0,0.0,0.0,0.0
18,0.063,-3.021,91.68,0.0,0.0,0.0,0.0
19,-1.865,1.508,69.91,0.0,0.0,0.0,0.0
20,1.791,1.192,47.7,0.0,0.0,0.0,0.0
21,-0.921,2.195,275.69,0.0,0.0,0.0,0.0
22,1.159,-0.097,59.56,0.0,0.0,0.0,0.0
23,-1.42,1.943,27.65,0.0,0.0,0.0,0.0
24,-1.341,-1.646,39.01,0.0,0.0,0.0,0.0
25,-1.66,2.577,14.39,0.0,0.0,0.0,0.0
26,-0.869,-2.481,478.37,0.0,0.0,0.0,0.0
27,0.934,1.957,61.83,0.0,0.0,0.0,0.0
28,-0.76,1.529,58.79,0.0,0.0,0.0,0.0
29,-1.752,-1.698,35.34,0.0,0.0,0.0,0.0
30,0.692,0.965,363.12,0.0,0.0,0.0,0.0
31,1.255,-2.639,212.42,0.0,0.0,0.0,0.0
32,-0.586,1.361,204.45,0.0,0.0,0.0,0.0
33,1.84,-1.854,62.85,0.0,0.0,0.0,0.0
34,-0.23,-1.349,33.9,0.0,0.0,0.0,0.0
35,0.446,-1.95,115.27,0.0,0.0,0.0,0.0
36,0.801,-2.637,72.01,0.0,0.0,0.0,0.0
37,1.241,3.002,70.87,0.0,0.0,0.0,0.0
38,-0.016,3.113,63.86,0.0,0.0,0.0,0.0
39,-2.027,-2.346,19.96,0.0,0.0,0.0,0.0
40,-0.555,2.195,178.45,0.0,0.0,0.0,0.0
41,-1.79,-1.481,136.18,0.0,0.0,0.0,0.0
42,0.909,1.787,117.22,0.0,0.0,0.0,0.0
43,0.133,-1.652,104.4,0.0,0.0,0.0,0.0
44,0.062,-0.368,86.38,0.0,0.0,0.0,0.0
45,0.924,-0.111,168.5,0.0,0.0,0.0,0.0
46,-0.092,1.212,206.32,0.0,0.0,0.0,0.0
47,0.465,1.32,93.23,0.0,0.0,0.0,0.0
48,-0.392,-1.196,85.69,0.0,0.0,0.0,0.0
49,-0.955,1.516,63.04,0.0,0.0,0.0,0.0
50,1.504,2.183,26.77,0.0,0.0,0.0,0.0
51,0.237,2.731,103.37,0.0,0.0,0.0,0.0
52,-0.813,2.915,56.06,0.0,0.0,0.0,0.0
53,-1.703,-1.32,33.04,0.0,0.0,0.0,0.0
54,0.85,-0.91,53.18,0.0,0.0,0.0,0.0
55,0.789,-1.319,122.9,0.0,0.0,0.0,0.0
56,-1.925,-2.004,65.1,0.0,0.0,0.0,0.0
57,1.022,-0.256,54.22,0.0,0.0,0.0,0.0
58,-0.453,-0.126,230.79,0.0,0.0,0.0,0.0
59,0.377,2.665,128.96,0.0,0.0,0.0,0.0
60,1.594,-1.648,80.79,0.0,0.0,0.0,0.0
