,eta,phi,PT,jmass,ntrk,btag,hadem
0,-1.305,-2.417,720.64,183.92,-1.0,0.0,0.34
1,-0.047,-1.592,575.44,111.48,1.0,0.0,0.39
2,0.068,-0.915,181.55,18.59,-1.0,0.0,0.0
3,-0.966,-0.181,31.07,4.22,-1.0,0.0,0.49
4,0.828,-2.84,1752.3,555.26,-1.0,0.0,0.25
5,1.587,2.943,692.2,193.38,1.0,0.0,3.97
6,0.191,0.631,537.46,126.88,1.0,0.0,0.92
7,1.589,-2.343,511.15,126.18,1.0,0.0,0.3
8,0.697,0.052,311.42,75.03,-1.0,0.0,0.39
9,1.394,-2.457,80.31,17.37,-1.0,0.0,0.47
10,-0.541,-2.387,67.23,6.23,-1.0,0.0,0.0
11,0.313,-1.429,64.18,3.81,-1.0,0.0,47.57
12,-0.2,-1.66,887.42,288.78,-1.0,0.0,0.89
13,0.265,-0.829,250.55,8.92,-1.0,0.0,0.0
14,0.587,2.449,111.89,16.97,1.0,0.0,1.37
15,1.757,0.483,83.02,12.38,-1.0,0.0,1.18
16,-2.422,0.497,38.5,9.34,1.0,0.0,13.79
17,-0.146,-2.11,3113.43,680.84,1.0,0.0,0.52
18,-1.163,3.062,1005.32,242.27,1.0,0.0,1.57
19,-1.299,2.504,855.06,235.55,1.0,0.0,0.15
20,0.076,2.087,744.57,162.96,-1.0,0.0,0.69
21,-0.441,2.632,122.72,19.55,1.0,0.0,1.1
22,0.113,0.479,1374.01,447.06,1.0,0.0,0.64
23,-0.875,-1.598,455.6,96.76,1.0,0.0,0.25
24,-0.22,-0.281,418.7,120.27,1.0,0.0,0.03
25,-0.159,1.132,375.59,56.4,1.0,0.0,0.11
26,-0.376,-2.114,120.69,25.62,1.0,0.0,0.15
27,0.667,-0.195,1451.82,436.35,1.0,0.0,0.1
28,0.796,-1.063,1223.44,360.35,-1.0,0.0,0.15
29,0.651,2.831,1040.0,269.59,-1.0,0.0,1.66
30,-0.11,-1.754,779.6,164.54,1.0,0.0,0.69
31,1.711,-1.182,620.1,163.44,1.0,0.0,0.53
32,-0.137,3.135,402.76,86.62,-1.0,0.0,0.09
33,1.915,-1.853,41.32,9.18,1.0,0.0,0.42
34,-0.545,1.973,2053.29,632.66,-1.0,0.0,0.48
35,-1.21,-0.501,1396.08,384.58,-1.0,0.0,0.28
36,-0.741,2.954,1364.18,377.24,1.0,0.0,0.76
37,0.154,1.357,552.62,155.04,-1.0,0.0,0.22
38,-0.537,-2.113,349.08,47.17,-1.0,0.0,1.0
39,-0.189,2.746,91.2,18.49,1.0,0.0,3.81
40,0.203,2.678,967.0,280.62,1.0,0.0,0.13
41,0.531,-1.137,279.41,30.19,1.0,0.0,0.38
42,-1.213,1.633,66.06,17.9,-1.0,0.0,0.48
43,0.22,2.233,764.54,227.5,-1.0,0.0,0.52
44,0.134,0.139,631.45,205.44,1.0,0.0,1.0
45,0.657,2.745,305.85,77.72,-1.0,0.0,0.36
46,0.102,-2.894,219.31,49.5,1.0,0.0,1.04
47,-0.226,2.83,183.13,10.21,-1.0,0.0,0.57
48,0.535,-2.358,90.2,7.29,1.0,0.0,2.2
49,-0.216,-0.342,47.95,3.64,1.0,0.0,0.11
50,-0.395,2.102,1823.64,549.53,-1.0,0.0,1.1
51,-0.675,-2.304,1763.63,499.74,-1.0,0.0,0.09
52,-0.378,-0.274,855.85,211.98,1.0,0.0,0.09
53,0.745,-0.632,264.41,62.16,1.0,0.0,0.88
54,1.324,-1.665,143.95,15.0,-1.0,0.0,0.6
55,-1.625,0.909,117.82,10.5,1.0,0.0,0.4
56,0.067,0.757,1039.8,324.71,-1.0,0.0,0.34
57,1.25,0.235,634.77,187.0,1.0,0.0,0.57
58,0.844,-0.446,478.99,117.06,1.0,0.0,0.5
59,-0.195,1.648,426.61,80.02,1.0,0.0,0.26
60,1.926,-3.111,60.9,13.76,-1.0,0.0,22.0
61,-0.679,1.038,53.84,10.66,1.0,0.0,15.67
62,-0.176,1.848,869.13,207.92,1.0,0.0,0.24
63,-1.433,-3.058,160.14,47.2,1.0,0.0,0.05
64,-1.605,-2.51,22.9,2.91,1.0,0.0,0.0
65,0.289,2.801,864.73,198.76,1.0,0.0,1.09
66,-1.739,-1.388,486.87,166.02,1.0,0.0,3.0
67,-0.301,3.128,232.05,14.74,1.0,0.0,4.01
68,-0.745,-1.739,102.11,6.09,-1.0,0.0,999.9
69,-0.776,-1.781,856.86,181.09,1.0,0.0,0.22
70,1.09,-0.977,717.05,161.58,-1.0,0.0,1.28
71,-0.849,-2.652,426.26,131.68,-1.0,0.0,0.28
72,-0.214,-1.94,266.86,26.93,1.0,0.0,1.3
73,0.092,0.423,128.01,30.55,-1.0,0.0,0.14
74,1.817,-1.311,53.51,4.05,-1.0,0.0,0.57
75,1.751,1.459,32.33,4.98,-1.0,0.0,0.1
76,-0.294,2.385,1519.96,352.59,-1.0,0.0,0.81
77,-1.247,-2.023,574.78,155.63,-1.0,0.0,1.03
78,0.39,0.825,500.25,82.01,1.0,0.0,1.07
79,0.279,2.2,66.71,3.2,-1.0,0.0,0.0
80,1.551,1.317,26.88,6.14,1.0,0.0,0.0
81,0.076,-2.027,114.78,10.51,1.0,0.0,0.0
82,-0.643,-0.274,1406.43,419.19,-1.0,0.0,0.91
83,-0.734,0.444,612.43,145.45,1.0,0.0,0.38
84,-1.61,-2.237,294.38,50.95,1.0,0.0,0.63
85,-1.33,-2.695,161.25,12.32,1.0,0.0,5.5
86,-1.103,-2.078,117.22,6.09,1.0,0.0,999.9
87,-1.838,0.114,64.71,12.29,-1.0,0.0,0.99
88,-1.012,2.374,1316.21,343.86,-1.0,0.0,0.82
89,-1.877,-1.148,1056.54,221.35,1.0,0.0,0.21
90,-1.48,1.535,718.96,213.18,-1.0,0.0,1.93
91,-0.42,-1.653,714.84,199.8,-1.0,0.0,0.43
92,-1.82,0.658,524.91,125.76,-1.0,0.0,1.27
93,-1.536,-2.113,481.9,134.58,1.0,0.0,0.32
94,-0.444,-0.806,29.24,3.87,1.0,0.0,0.0
95,0.142,-1.838,1555.61,365.17,1.0,0.0,1.07
96,-0.171,-1.171,1321.54,407.87,-1.0,0.0,0.21
97,0.732,1.05,1012.31,160.76,1.0,0.0,0.41
98,-0.318,3.098,735.34,170.68,-1.0,0.0,0.68
99,-0.719,2.277,474.16,106.25,-1.0,0.0,0.52
100,-0.04,1.961,245.19,42.3,1.0,0.0,8.4
101,-0.771,2.839,115.0,11.39,-1.0,0.0,0.35
102,-4.475,1.566,58.37,7.34,-1.0,0.0,28.48
103,2.746,2.588,33.65,5.01,1.0,0.0,0.98
104,-0.626,-0.504,503.07,114.61,-1.0,0.0,0.22
105,-1.088,-1.015,285.93,66.25,-1.0,0.0,0.2
106,0.65,-1.039,145.76,13.29,-1.0,0.0,0.0
107,-0.96,0.311,94.46,10.6,1.0,0.0,0.0
108,0.895,-1.093,656.82,182.96,1.0,0.0,0.17
109,1.554,2.639,46.45,13.68,1.0,0.0,0.28
110,0.273,-1.251,1491.2,393.2,1.0,0.0,1.49
111,-0.411,-1.308,93.97,10.91,1.0,0.0,0.29
112,-0.424,-2.949,58.3,7.7,-1.0,0.0,1.84
113,-0.452,-0.778,1108.27,317.48,1.0,0.0,0.54
114,2.428,-1.746,106.86,21.36,-1.0,0.0,0.18
115,-0.09,-1.921,507.08,145.29,1.0,0.0,0.37
116,-1.224,0.577,823.17,264.65,1.0,0.0,0.46
117,-1.209,-1.253,278.96,76.52,1.0,0.0,0.64
118,-0.622,0.75,57.27,1.84,1.0,0.0,0.3
119,-1.12,0.341,1281.59,369.01,-1.0,0.0,0.16
120,-0.493,-0.832,299.45,69.02,1.0,0.0,0.02
121,-2.086,2.522,289.21,44.03,1.0,0.0,0.09
122,-0.065,-2.802,727.67,211.22,-1.0,0.0,0.24
123,-0.431,-0.777,694.5,212.34,1.0,0.0,0.03
124,-1.418,-2.362,592.9,146.84,1.0,0.0,0.24
125,0.235,-1.281,162.62,47.7,-1.0,0.0,1.96
126,0.85,-1.507,49.25,6.46,-1.0,0.0,0.0
127,-1.329,-2.56,717.37,155.75,1.0,0.0,0.27
128,-2.331,1.296,572.51,132.52,1.0,0.0,0.04
129,0.048,-2.882,372.55,91.41,1.0,0.0,0.68
130,-0.159,-0.792,145.68,26.08,1.0,0.0,0.0
131,-1.748,1.265,123.65,-0.0,1.0,0.0,999.9
132,-0.583,-2.109,1745.31,514.4,1.0,0.0,0.38
133,-0.187,-0.333,932.97,241.42,1.0,0.0,0.63
134,0.562,0.957,631.89,151.97,-1.0,0.0,2.21
135,-1.543,-0.539,405.8,125.08,1.0,0.0,2.06
136,-1.669,1.819,102.58,16.85,-1.0,0.0,4.39
137,-1.826,-2.175,84.96,9.72,1.0,0.0,0.04
138,1.752,-2.635,80.83,15.25,-1.0,0.0,0.11
139,-0.328,0.193,42.04,0.66,1.0,0.0,999.9
140,1.415,1.745,97.9,7.78,-1.0,0.0,0.0
141,-1.088,1.902,1708.81,474.23,-1.0,0.0,0.17
142,-0.675,0.448,660.18,201.36,-1.0,0.0,1.55
143,-1.218,-1.093,603.03,173.61,1.0,0.0,0.16
144,-1.348,2.359,238.34,33.0,-1.0,0.0,0.12
145,-1.781,1.067,303.5,76.08,-1.0,0.0,0.13
146,0.892,-1.479,153.1,42.66,-1.0,0.0,1.55
147,-2.064,0.564,42.01,5.1,-1.0,0.0,3.0
148,-2.478,2.632,22.64,3.52,1.0,0.0,1.16
149,0.489,0.013,842.02,244.7,-1.0,0.0,0.42
150,1.953,-0.227,319.62,65.32,-1.0,0.0,0.35
151,1.107,-2.76,1555.02,493.09,-1.0,0.0,0.2
152,1.958,2.967,332.17,54.62,-1.0,0.0,0.39
153,0.363,2.278,1436.12,395.85,-1.0,0.0,0.51
154,-0.111,1.699,1210.24,333.32,-1.0,0.0,0.57
155,-0.055,2.43,826.77,227.45,-1.0,0.0,0.91
156,-0.418,0.942,403.05,75.68,1.0,0.0,0.51
157,0.511,3.018,305.96,62.28,-1.0,0.0,0.46
158,-0.127,-1.552,184.18,21.33,1.0,0.0,3.95
159,-1.434,-3.074,77.32,3.49,-1.0,0.0,0.9
160,1.135,-1.726,1118.69,292.89,1.0,0.0,0.05
161,0.284,2.27,418.08,96.58,1.0,0.0,0.44
162,-0.415,-3.062,251.5,35.72,1.0,0.0,0.0
163,-0.287,2.295,1542.96,483.75,-1.0,0.0,0.33
164,0.219,-1.45,1099.08,294.07,1.0,0.0,0.95
165,-0.396,-1.98,855.47,236.71,1.0,0.0,0.29
166,-1.027,2.426,788.86,175.44,1.0,0.0,0.23
167,0.725,1.065,579.32,139.27,-1.0,0.0,0.2
168,1.544,1.403,30.13,9.56,-1.0,0.0,0.97
169,0.478,2.953,1362.28,318.63,1.0,0.0,0.7
170,1.482,-1.666,860.34,239.29,1.0,0.0,0.46
171,1.068,0.581,451.38,92.76,-1.0,0.0,0.73
172,-0.037,0.302,429.95,83.38,-1.0,0.0,1.7
173,-0.221,2.318,288.16,63.48,-1.0,0.0,0.33
174,-0.121,1.157,175.03,28.95,1.0,0.0,0.5
175,-0.43,-0.94,45.5,6.55,-1.0,0.0,0.46
176,-0.466,0.214,1914.59,510.15,-1.0,0.0,0.34
177,1.791,-0.502,27.58,5.47,1.0,0.0,2.89
178,-1.063,2.432,1010.92,235.01,1.0,0.0,0.64
179,-0.116,-2.249,774.87,228.24,-1.0,0.0,0.29
180,-1.295,-2.586,589.17,106.67,-1.0,0.0,0.15
181,-0.744,-2.486,75.79,12.28,-1.0,0.0,7.08
182,0.376,0.436,63.19,14.51,-1.0,0.0,1.49
183,0.295,0.121,768.0,207.08,-1.0,0.0,0.54
184,-0.362,1.203,712.8,149.09,-1.0,0.0,0.24
185,-1.148,1.239,645.49,163.43,1.0,0.0,0.7
186,0.091,0.7,168.43,16.8,-1.0,0.0,0.24
187,-1.509,1.101,909.16,295.44,1.0,0.0,1.64
188,-1.21,-3.114,631.59,168.12,1.0,0.0,0.21
189,0.641,1.383,984.41,246.54,-1.0,0.0,1.16
190,1.545,0.71,587.81,111.44,-1.0,0.0,0.39
191,-0.067,-2.952,342.17,82.49,-1.0,0.0,1.12
192,-0.231,-1.289,201.25,39.5,1.0,0.0,8.81
193,0.683,-0.216,168.05,10.03,-1.0,0.0,0.83
194,-0.567,-1.488,954.68,267.64,1.0,0.0,1.15
195,-0.883,-3.108,819.67,219.41,1.0,0.0,0.3
196,0.373,2.016,757.59,222.86,1.0,0.0,0.28
197,-0.342,1.519,108.26,5.09,-1.0,0.0,0.0
198,-2.005,-0.433,37.63,2.44,-1.0,0.0,0.0
199,1.276,2.632,690.89,109.71,-1.0,0.0,0.59
200,0.255,-0.766,554.49,121.5,1.0,0.0,2.76
