,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.655,1.846,1282.79,0.0,1.0,0.0,0.0,13
1,1.162,0.62,1080.16,0.0,1.0,0.0,0.0,21
2,-1.205,1.778,1682.33,0.0,1.0,0.0,0.0,22
3,0.03,2.735,3302.23,0.0,-1.0,0.0,0.0,27
4,0.631,-2.518,35.12,0.0,1.0,0.0,0.0,27
5,1.453,0.599,519.28,0.0,1.0,0.0,0.0,33
6,0.563,-0.362,350.23,0.0,-1.0,0.0,0.0,45
7,0.698,0.216,21.14,0.0,1.0,0.0,0.0,48
8,0.151,-0.153,1512.49,0.0,-1.0,0.0,0.0,51
9,0.121,2.645,2835.5,0.0,1.0,0.0,0.0,52
10,-0.365,-2.583,1379.38,0.0,1.0,0.0,0.0,56
11,-0.465,1.733,599.11,0.0,1.0,0.0,0.0,59
12,0.201,-1.326,1844.17,0.0,-1.0,0.0,0.0,65
13,0.156,-1.768,502.82,0.0,1.0,0.0,0.0,71
14,0.034,-0.882,4349.64,0.0,1.0,0.0,0.0,74
15,1.023,-2.651,46.1,0.0,1.0,0.0,0.0,84
16,-0.219,1.465,549.07,0.0,-1.0,0.0,0.0,86
17,0.11,-0.337,3975.13,0.0,1.0,0.0,0.0,97
18,-0.542,1.808,146.23,0.0,-1.0,0.0,0.0,97
19,-1.72,-3.019,326.69,0.0,-1.0,0.0,0.0,109
20,-0.678,-1.795,4205.51,0.0,1.0,0.0,0.0,116
21,0.352,0.746,2159.15,0.0,-1.0,0.0,0.0,118
22,-0.217,3.043,481.53,0.0,1.0,0.0,0.0,135
23,-0.603,-2.136,414.26,0.0,1.0,0.0,0.0,150
24,0.011,-0.1,143.14,0.0,-1.0,0.0,0.0,156
25,-0.093,-1.229,97.72,0.0,1.0,0.0,0.0,173
26,0.734,2.96,1713.2,0.0,-1.0,0.0,0.0,190
27,1.74,-0.065,783.03,0.0,-1.0,0.0,0.0,193
28,-0.406,-0.958,2613.25,0.0,1.0,0.0,0.0,206
29,-0.64,0.921,2054.78,0.0,1.0,0.0,0.0,211
30,0.416,-2.587,1005.84,0.0,-1.0,0.0,0.0,233
31,-1.22,-0.36,2003.23,0.0,1.0,0.0,0.0,236
32,0.798,-0.879,447.54,0.0,-1.0,0.0,0.0,256
33,0.172,-1.018,359.33,0.0,1.0,0.0,0.0,259
34,-0.499,-2.936,2212.78,0.0,1.0,0.0,0.0,287
35,-1.017,2.797,726.86,0.0,1.0,0.0,0.0,295
36,-1.69,-2.052,48.2,0.0,1.0,0.0,0.0,295
37,1.578,1.007,1076.47,0.0,1.0,0.0,0.0,302
38,0.477,-2.566,914.18,0.0,1.0,0.0,0.0,325
39,-0.031,1.174,3056.92,0.0,-1.0,0.0,0.0,346
40,0.736,1.202,2126.48,0.0,-1.0,0.0,0.0,347
41,-0.086,-2.383,2233.36,0.0,1.0,0.0,0.0,359
42,0.558,1.551,322.54,0.0,-1.0,0.0,0.0,371
43,-0.072,-0.921,1389.92,0.0,-1.0,0.0,0.0,374
44,-0.187,-0.083,1183.53,0.0,1.0,0.0,0.0,377
45,2.321,1.9,22.97,0.0,1.0,0.0,0.0,384
46,0.496,-0.686,196.58,0.0,-1.0,0.0,0.0,391
47,-0.338,-3.117,1714.45,0.0,-1.0,0.0,0.0,395
48,-0.139,-2.585,101.57,0.0,1.0,0.0,0.0,405
49,1.143,0.101,30.13,0.0,1.0,0.0,0.0,405
50,-0.93,-2.11,176.44,0.0,-1.0,0.0,0.0,411
51,-0.29,2.671,2306.67,0.0,-1.0,0.0,0.0,420
52,-0.087,1.076,3874.24,0.0,1.0,0.0,0.0,421
53,-0.531,2.453,3741.54,0.0,-1.0,0.0,0.0,428
54,0.407,-0.74,526.43,0.0,1.0,0.0,0.0,428
55,-0.165,0.673,1885.61,0.0,1.0,0.0,0.0,430
56,0.095,-2.778,313.39,0.0,-1.0,0.0,0.0,443
57,0.938,-2.719,1232.28,0.0,1.0,0.0,0.0,445
58,0.057,-0.87,2820.65,0.0,1.0,0.0,0.0,461
59,-1.15,-1.131,1877.9,0.0,1.0,0.0,0.0,473
60,-0.541,1.591,602.12,0.0,-1.0,0.0,0.0,477
61,0.143,2.96,1930.11,0.0,1.0,0.0,0.0,487
62,0.017,1.221,3661.53,0.0,-1.0,0.0,0.0,511
63,0.52,-1.725,3371.33,0.0,-1.0,0.0,0.0,521
64,0.105,-0.418,2826.34,0.0,1.0,0.0,0.0,527
65,0.025,1.188,2542.38,0.0,-1.0,0.0,0.0,533
66,-0.099,0.717,1087.77,0.0,1.0,0.0,0.0,544
67,0.532,-1.254,3240.94,0.0,1.0,0.0,0.0,546
68,-1.224,-1.402,16.67,0.0,1.0,0.0,0.0,546
69,0.656,-1.307,321.37,0.0,1.0,0.0,0.0,549
70,0.375,2.275,1383.87,0.0,-1.0,0.0,0.0,559
71,1.144,2.701,1792.75,0.0,-1.0,0.0,0.0,563
72,-0.818,1.512,2099.39,0.0,1.0,0.0,0.0,575
73,0.931,-2.806,191.91,0.0,1.0,0.0,0.0,576
74,0.351,2.497,525.91,0.0,1.0,0.0,0.0,579
75,-0.731,-2.814,661.18,0.0,1.0,0.0,0.0,587
76,-0.17,-2.358,350.66,0.0,-1.0,0.0,0.0,593
77,0.874,-0.51,1625.47,0.0,1.0,0.0,0.0,617
78,-0.114,1.627,1017.47,0.0,1.0,0.0,0.0,629
79,-0.883,-2.353,2012.23,0.0,-1.0,0.0,0.0,635
80,-0.026,1.539,704.37,0.0,1.0,0.0,0.0,639
81,1.0,-0.733,1902.57,0.0,1.0,0.0,0.0,695
82,0.02,-0.584,1217.79,0.0,1.0,0.0,0.0,700
83,0.855,1.94,15.84,0.0,-1.0,0.0,0.0,710
84,0.416,2.355,427.72,0.0,-1.0,0.0,0.0,712
85,-1.481,-1.826,150.43,0.0,1.0,0.0,0.0,723
86,0.769,0.473,3011.73,0.0,-1.0,0.0,0.0,727
87,-0.474,-0.548,423.79,0.0,1.0,0.0,0.0,727
88,2.088,-2.784,254.93,0.0,-1.0,0.0,0.0,749
89,-1.645,-0.633,747.93,0.0,1.0,0.0,0.0,765
90,1.019,0.863,1614.62,0.0,-1.0,0.0,0.0,774
91,0.348,-0.493,612.37,0.0,1.0,0.0,0.0,784
92,-0.132,0.451,103.68,0.0,1.0,0.0,0.0,788
93,0.763,-1.313,339.12,0.0,-1.0,0.0,0.0,819
94,-2.061,1.239,121.65,0.0,1.0,0.0,0.0,829
95,0.735,0.227,1477.33,0.0,-1.0,0.0,0.0,833
