,eta,phi,PT,jmass,ntrk,btag,hadem
0,-1.436,2.324,58.0,0.0,-1.0,0.0,0.0
1,0.501,2.152,83.99,0.0,-1.0,0.0,0.0
2,-0.367,0.985,121.6,0.0,-1.0,0.0,0.0
3,1.264,3.126,124.5,0.0,1.0,0.0,0.0
4,-0.87,1.193,25.23,0.0,1.0,0.0,0.0
5,-1.23,-2.699,69.98,0.0,1.0,0.0,0.0
6,-0.303,0.937,105.21,0.0,1.0,0.0,0.0
7,0.02,-3.032,108.63,0.0,-1.0,0.0,0.0
8,-0.39,-2.27,47.22,0.0,1.0,0.0,0.0
9,1.886,0.597,46.34,0.0,-1.0,0.0,0.0
10,0.179,-1.101,21.35,0.0,1.0,0.0,0.0
11,0.463,2.438,58.33,0.0,1.0,0.0,0.0
12,-1.959,-0.926,22.25,0.0,1.0,0.0,0.0
13,-1.437,-2.484,60.31,0.0,1.0,0.0,0.0
14,-0.9,-1.521,59.24,0.0,1.0,0.0,0.0
15,1.099,0.795,65.88,0.0,1.0,0.0,0.0
16,-0.095,-2.55,73.13,0.0,-1.0,0.0,0.0
17,0.735,-2.601,70.69,0.0,1.0,0.0,0.0
18,-0.049,2.044,116.18,0.0,-1.0,0.0,0.0
19,0.843,-1.439,76.77,0.0,1.0,0.0,0.0
20,-0.242,0.311,61.74,0.0,-1.0,0.0,0.0
21,-1.159,1.106,38.82,0.0,-1.0,0.0,0.0
22,1.326,-2.212,24.19,0.0,1.0,0.0,0.0
23,1.423,-1.443,73.27,0.0,1.0,0.0,0.0
24,-0.432,-2.535,48.43,0.0,-1.0,0.0,0.0
25,0.147,2.021,33.32,0.0,-1.0,0.0,0.0
26,-0.448,-0.715,90.25,0.0,-1.0,0.0,0.0
27,2.094,-1.508,50.37,0.0,1.0,0.0,0.0
28,-0.496,0.773,54.73,0.0,1.0,0.0,0.0
29,1.477,-2.145,73.95,0.0,1.0,0.0,0.0
30,-0.791,-0.675,71.08,0.0,1.0,0.0,0.0
31,-1.156,1.363,65.08,0.0,1.0,0.0,0.0
32,0.475,1.443,82.21,0.0,1.0,0.0,0.0
33,-2.474,2.34,50.6,0.0,-1.0,0.0,0.0
34,-1.445,2.205,31.57,0.0,-1.0,0.0,0.0
35,-1.648,2.575,53.54,0.0,-1.0,0.0,0.0
36,-0.418,2.841,27.7,0.0,1.0,0.0,0.0
37,-0.441,-2.218,39.96,0.0,-1.0,0.0,0.0
38,2.032,0.665,45.47,0.0,1.0,0.0,0.0
39,-1.109,2.106,22.68,0.0,-1.0,0.0,0.0
40,-1.598,2.0,30.0,0.0,1.0,0.0,0.0
41,-0.535,3.08,108.93,0.0,1.0,0.0,0.0
42,2.192,1.56,36.6,0.0,-1.0,0.0,0.0
43,-2.054,-2.623,80.88,0.0,-1.0,0.0,0.0
44,-0.211,-1.542,73.68,0.0,-1.0,0.0,0.0
45,-0.609,-1.412,88.97,0.0,1.0,0.0,0.0
46,-0.364,0.904,53.94,0.0,-1.0,0.0,0.0
47,-1.252,-1.952,122.32,0.0,1.0,0.0,0.0
48,-0.684,2.209,62.52,0.0,1.0,0.0,0.0
49,0.577,1.96,44.96,0.0,-1.0,0.0,0.0
50,-0.05,-1.453,22.51,0.0,-1.0,0.0,0.0
51,0.783,-2.485,90.32,0.0,-1.0,0.0,0.0
52,0.259,-1.242,67.3,0.0,1.0,0.0,0.0
53,0.474,0.674,49.15,0.0,1.0,0.0,0.0
54,0.816,-1.825,13.94,0.0,-1.0,0.0,0.0
55,-0.591,1.295,69.65,0.0,1.0,0.0,0.0
56,1.336,2.525,91.76,0.0,-1.0,0.0,0.0
57,0.11,-1.349,100.1,0.0,-1.0,0.0,0.0
58,0.141,2.057,77.09,0.0,1.0,0.0,0.0
59,1.183,3.05,71.49,0.0,1.0,0.0,0.0
60,-0.562,1.671,53.31,0.0,1.0,0.0,0.0
