,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.023,-2.118,29.44,0.0,0.0,0.0,0.0,11
1,0.871,-1.737,11.94,0.0,0.0,0.0,0.0,11
2,-0.605,-0.84,24.87,0.0,0.0,0.0,0.0,69
3,1.52,1.912,78.91,0.0,0.0,0.0,0.0,142
4,-0.836,-2.136,15.64,0.0,0.0,0.0,0.0,152
5,0.06,-2.209,37.82,0.0,0.0,0.0,0.0,158
6,-0.569,-2.591,18.07,0.0,0.0,0.0,0.0,165
7,-1.88,-2.8,85.89,0.0,0.0,0.0,0.0,167
8,1.597,1.251,68.09,0.0,0.0,0.0,0.0,188
9,-0.469,3.065,11.05,0.0,0.0,0.0,0.0,197
10,0.555,2.526,43.64,0.0,0.0,0.0,0.0,229
11,-1.455,2.398,11.66,0.0,0.0,0.0,0.0,275
12,0.209,-2.515,19.38,0.0,0.0,0.0,0.0,280
13,-0.164,2.453,56.74,0.0,0.0,0.0,0.0,289
14,-1.251,0.588,41.75,0.0,0.0,0.0,0.0,335
15,1.677,-1.212,49.46,0.0,0.0,0.0,0.0,425
16,1.219,0.592,26.14,0.0,0.0,0.0,0.0,450
17,-0.343,1.759,118.63,0.0,0.0,0.0,0.0,470
18,-0.16,-1.01,16.75,0.0,0.0,0.0,0.0,494
19,-2.053,1.414,27.58,0.0,0.0,0.0,0.0,548
20,-0.152,-0.367,39.04,0.0,0.0,0.0,0.0,564
21,-0.127,-0.581,20.71,0.0,0.0,0.0,0.0,565
22,-2.039,-0.573,14.57,0.0,0.0,0.0,0.0,651
23,1.22,3.078,53.97,0.0,0.0,0.0,0.0,735
24,-0.571,0.947,33.02,0.0,0.0,0.0,0.0,779
25,0.287,1.86,31.72,0.0,0.0,0.0,0.0,786
26,-1.968,-2.447,117.36,0.0,0.0,0.0,0.0,816
27,-1.793,-1.774,25.66,0.0,0.0,0.0,0.0,825
28,0.491,-2.254,21.97,0.0,0.0,0.0,0.0,829
29,0.665,0.139,44.0,0.0,0.0,0.0,0.0,839
30,0.318,-0.995,15.77,0.0,0.0,0.0,0.0,886
31,-0.895,2.404,81.0,0.0,0.0,0.0,0.0,896
32,-1.008,2.347,21.26,0.0,0.0,0.0,0.0,902
33,1.09,1.561,10.47,0.0,0.0,0.0,0.0,942
34,-1.306,-0.04,45.69,0.0,0.0,0.0,0.0,943
35,-0.914,-0.801,19.23,0.0,0.0,0.0,0.0,964
36,-0.563,2.978,88.97,0.0,0.0,0.0,0.0,974
37,0.193,0.523,14.28,0.0,0.0,0.0,0.0,982
38,-1.964,-2.237,25.26,0.0,0.0,0.0,0.0,1020
39,-0.928,1.494,13.46,0.0,0.0,0.0,0.0,1079
40,-1.186,-2.767,62.34,0.0,0.0,0.0,0.0,1096
41,-1.365,-1.509,16.66,0.0,0.0,0.0,0.0,1100
42,1.806,0.436,22.45,0.0,0.0,0.0,0.0,1123
43,1.476,-0.487,13.43,0.0,0.0,0.0,0.0,1183
44,2.062,-1.279,33.3,0.0,0.0,0.0,0.0,1186
45,-1.365,0.596,20.17,0.0,0.0,0.0,0.0,1267
46,2.075,2.298,13.02,0.0,0.0,0.0,0.0,1281
47,0.685,-2.765,22.35,0.0,0.0,0.0,0.0,1327
48,-0.552,2.633,16.36,0.0,0.0,0.0,0.0,1352
49,-2.016,-2.801,69.62,0.0,0.0,0.0,0.0,1355
50,-0.861,-0.695,13.82,0.0,0.0,0.0,0.0,1364
51,0.858,-2.746,117.64,0.0,0.0,0.0,0.0,1481
52,0.022,2.961,25.41,0.0,0.0,0.0,0.0,1494
53,-0.36,-0.59,47.46,0.0,0.0,0.0,0.0,1548
54,1.131,0.295,17.27,0.0,0.0,0.0,0.0,1565
55,-1.07,-0.403,22.44,0.0,0.0,0.0,0.0,1600
56,-1.894,-1.537,109.06,0.0,0.0,0.0,0.0,1654
57,-0.552,2.723,83.26,0.0,0.0,0.0,0.0,1726
58,-0.354,1.493,40.98,0.0,0.0,0.0,0.0,1792
