,PP13-Sphaleron-THR9-FRZ15-NB33-60-NSUBP50.csv,PP13-Sphaleron-THR9-FRZ15-NB0-NSUBPALL.csv,PP13-Sphaleron-THR9-FRZ15-NB33-71-NSUBP5.csv
BH_n5_M12.csv,"(8492, 0.7429740488547611, 1)","(7756, 0.8426653352990643, 1)","(7398, 0.8724995189887486, 1)"
BH_n5_M11.csv,"(8393, 0.6737620695913111, 1)","(7547, 0.7922295552483453, 1)","(7314, 0.8305047067004574, 1)"
BH_n5_M10.csv,"(8036, 0.5922404465116116, 1)","(7543, 0.7258721466860343, 1)","(7062, 0.7743394175112237, 1)"
BH_n6_M8.csv,"(6120, 0.6562084336872219, 0)","(4952, 0.5476736630350042, 0)","(5208, 0.5986683893055805, 0)"
BH_n5_M9.csv,"(5883, 0.5855322203221623, 0)","(7333, 0.6385560682706263, 1)","(7062, 0.6960730861901213, 1)"
BH_n4_M12.csv,"(8497, 0.7488898561765353, 1)","(7753, 0.8511575405014724, 1)","(7399, 0.8802798215359409, 1)"
BH_n4_M10.csv,"(7959, 0.5922891568002955, 1)","(7446, 0.7279019518538392, 1)","(7062, 0.7777750707438207, 1)"
BH_n6_M9.csv,"(5928, 0.5936854263599812, 0)","(7350, 0.6378553279955383, 1)","(7063, 0.6925220208705255, 1)"
BH_n4_M9.csv,"(5858, 0.5785296895199173, 0)","(7350, 0.6433069634861857, 1)","(7062, 0.7034252918518198, 1)"
BH_n6_M11.csv,"(8300, 0.6707118581305094, 1)","(7619, 0.7850646805387702, 1)","(7398, 0.8222410987596845, 1)"
BH_n4_M11.csv,"(8036, 0.6784538300789402, 1)","(7604, 0.8013206928828203, 1)","(7314, 0.8383722022465478, 1)"
BH_n4_M9_Mpl9.csv,"(5783, 0.585724858886369, 0)","(7350, 0.6699108517876705, 1)","(7062, 0.7243417238914086, 1)"
BH_n4_M8.csv,"(6278, 0.6481604797470845, 0)","(7273, 0.5354268596810667, 1)","(7062, 0.595692972155911, 1)"
BH_n6_M10.csv,"(7958, 0.5843844248234157, 1)","(7504, 0.714466690009678, 1)","(7063, 0.7603849593635295, 1)"
BH_n5_M8.csv,"(6151, 0.6580597991778773, 0)","(4758, 0.5418193965040198, 0)","(7062, 0.5952428371153988, 1)"
BH_n6_M12.csv,"(8522, 0.732279201784522, 1)","(7668, 0.8333940581363675, 1)","(7399, 0.8638419066234873, 1)"
BlackMaxOutputFirstRun.csv,"(6272, 0.6320632063206321, 0)","(7274, 0.5591559155915592, 1)","(7062, 0.6212661806721211, 1)"
BlackMaxOutputFirstRun2.csv,"(6282, 0.6315631563156315, 0)","(7335, 0.5590559055905591, 1)","(7062, 0.6209161456686209, 1)"
