,PP13-Sphaleron-THR9-FRZ15-NB33-60-NSUBP50.csv,PP13-Sphaleron-THR9-FRZ15-NB0-NSUBPALL.csv,PP13-Sphaleron-THR9-FRZ15-NB33-71-NSUBP5.csv
BH_n5_M12.csv,"(789, 0.6772475196981174, 1)","(415, 0.5875394654212729, 0)","(690, 0.6935618302643985, 1)"
BH_n5_M11.csv,"(796, 0.6541948425030802, 1)","(425, 0.6038424857489273, 0)","(690, 0.6709242723742774, 1)"
BH_n5_M10.csv,"(781, 0.6383985314831042, 1)","(415, 0.624462501316211, 0)","(712, 0.6543408145831053, 1)"
BH_n6_M8.csv,"(856, 0.6000334003591417, 1)","(437, 0.6656220388468777, 0)","(712, 0.6135644497152949, 1)"
BH_n5_M9.csv,"(761, 0.620342823519123, 1)","(425, 0.6382628309845089, 0)","(690, 0.6374181023075691, 1)"
BH_n4_M12.csv,"(761, 0.6791869740041393, 1)","(439, 0.5814330990436822, 0)","(690, 0.6956410634152536, 1)"
BH_n4_M10.csv,"(755, 0.6414290918274519, 1)","(439, 0.6191596473349259, 0)","(662, 0.6586281293312543, 1)"
BH_n6_M9.csv,"(789, 0.6203416430469695, 1)","(425, 0.6451649016056952, 0)","(712, 0.635270961668881, 1)"
BH_n4_M9.csv,"(763, 0.6267446740672866, 1)","(438, 0.6378137963841398, 0)","(712, 0.6413227772135444, 1)"
BH_n6_M11.csv,"(779, 0.6513703047548636, 1)","(422, 0.6085031893941888, 0)","(690, 0.6664733636628468, 1)"
BH_n4_M11.csv,"(757, 0.6618826451714844, 1)","(470, 0.5984614772391457, 0)","(690, 0.6783544015219407, 1)"
BH_n4_M9_Mpl9.csv,"(778, 0.6122466344502958, 1)","(413, 0.6545694947759562, 0)","(712, 0.6280312134410002, 1)"
BH_n4_M8.csv,"(806, 0.6066370116055319, 1)","(425, 0.6586689528210599, 0)","(690, 0.6219634659166519, 1)"
BH_n6_M10.csv,"(789, 0.6364270114173445, 1)","(415, 0.626310553146242, 0)","(690, 0.6517256290939447, 1)"
BH_n5_M8.csv,"(789, 0.6070876668541116, 1)","(423, 0.6643204982696929, 0)","(712, 0.620716595358988, 1)"
BH_n6_M12.csv,"(763, 0.6728761083949092, 1)","(415, 0.5917570132868919, 0)","(690, 0.6895348989312897, 1)"
BlackMaxOutputFirstRun.csv,"(789, 0.625962596259626, 1)","(413, 0.6427642764276429, 0)","(690, 0.63998426869714, 1)"
BlackMaxOutputFirstRun2.csv,"(789, 0.6255625562556256, 1)","(460, 0.6421142114211422, 0)","(712, 0.6407388486596407, 1)"
