,PP13-Sphaleron-THR9-FRZ15-NB33-60-NSUBP50.csv,PP13-Sphaleron-THR9-FRZ15-NB0-NSUBPALL.csv,PP13-Sphaleron-THR9-FRZ15-NB33-71-NSUBP5.csv
BH_n5_M12.csv,"(2.6, 0.5454685267531696, 1)","(0.0, 0.5432870674191714, 1)","(0.55, 0.5573393254719149, 0)"
BH_n5_M11.csv,"(2.5100000000000002, 0.5485076828243661, 1)","(0.0, 0.5439043197566513, 1)","(0.55, 0.5572630252403779, 0)"
BH_n5_M10.csv,"(2.6, 0.5488225214733068, 1)","(0.0, 0.546872336257604, 1)","(0.59, 0.5530240984623348, 0)"
BH_n6_M8.csv,"(2.6, 0.5533668273592702, 1)","(2.62, 0.5479869149091874, 1)","(0.55, 0.5599155722421056, 0)"
BH_n5_M9.csv,"(2.59, 0.5494981542927626, 1)","(0.0, 0.5467987168443249, 1)","(0.55, 0.5610444531120307, 0)"
BH_n4_M12.csv,"(2.5300000000000002, 0.5423991069217502, 1)","(0.0, 0.5403833454401374, 1)","(0.55, 0.5554568114516539, 0)"
BH_n4_M10.csv,"(0.46, 0.5421653562591073, 0)","(0.0, 0.5400623930763813, 1)","(0.55, 0.5571629911659536, 0)"
BH_n6_M9.csv,"(2.59, 0.5555048877978528, 1)","(2.47, 0.5499642051980146, 1)","(0.55, 0.5556764027108314, 0)"
BH_n4_M9.csv,"(2.59, 0.5460841569034665, 1)","(0.0, 0.5454933649013587, 1)","(0.67, 0.5600244419204164, 0)"
BH_n6_M11.csv,"(2.56, 0.5513202621672032, 1)","(2.62, 0.5461970115161321, 1)","(0.67, 0.5573810826283314, 0)"
BH_n4_M11.csv,"(2.59, 0.5438639085150782, 1)","(0.0, 0.5421627258603443, 1)","(0.55, 0.5560877578348679, 0)"
BH_n4_M9_Mpl9.csv,"(2.63, 0.5689756397702426, 1)","(2.62, 0.5639099259178468, 1)","(0.59, 0.5632963852201472, 0)"
BH_n4_M8.csv,"(2.63, 0.5497725806298359, 1)","(0.0, 0.5471203883905906, 1)","(0.55, 0.5608686519413789, 0)"
BH_n6_M10.csv,"(2.6, 0.5509984226706528, 1)","(2.62, 0.5457111087578099, 1)","(0.59, 0.5582229558254046, 0)"
BH_n5_M8.csv,"(2.63, 0.5517941323957407, 1)","(0.0, 0.5474345079172064, 1)","(0.55, 0.5570479216777005, 0)"
BH_n6_M12.csv,"(2.59, 0.5445737532834378, 1)","(0.0, 0.5422566735788815, 1)","(0.59, 0.5589960433813846, 0)"
BlackMaxOutputFirstRun.csv,"(2.52, 0.5492928357216014, 1)","(0.0, 0.5480038943241284, 1)","(0.55, 0.561410753374796, 0)"
BlackMaxOutputFirstRun2.csv,"(2.59, 0.5506717751836413, 1)","(0.0, 0.5481671515472097, 1)","(0.64, 0.5590954773869347, 0)"
