,PP13-Sphaleron-THR9-FRZ15-NB33-60-NSUBP50.csv,PP13-Sphaleron-THR9-FRZ15-NB0-NSUBPALL.csv,PP13-Sphaleron-THR9-FRZ15-NB33-71-NSUBP5.csv
BH_n5_M12.csv,"(1269, 0.9854552201284751, 1)","(2159, 0.8576225321372236, 1)","(1387, 0.9846212720591345, 1)"
BH_n5_M11.csv,"(1289, 0.9800052203387692, 1)","(2133, 0.8286916698919917, 1)","(1368, 0.9776191960765517, 1)"
BH_n5_M10.csv,"(1231, 0.9751807229181069, 1)","(2043, 0.7950827571743959, 1)","(1301, 0.971667702945236, 1)"
BH_n6_M8.csv,"(1207, 0.9574395721056551, 1)","(1931, 0.7219362828550536, 1)","(1218, 0.9513241860446022, 1)"
BH_n5_M9.csv,"(1207, 0.9687429631229603, 1)","(1969, 0.7614462356508733, 1)","(1218, 0.963127727106921, 1)"
BH_n4_M12.csv,"(1345, 0.9859527094257181, 1)","(2153, 0.8489718933355683, 1)","(1388, 0.9854357012986321, 1)"
BH_n4_M10.csv,"(1275, 0.9753210898012877, 1)","(2008, 0.7896826792054206, 1)","(1301, 0.9718600812350813, 1)"
BH_n6_M9.csv,"(1198, 0.9668425730239324, 1)","(2030, 0.7603430344034705, 1)","(1253, 0.9616297301602894, 1)"
BH_n4_M9.csv,"(1225, 0.9668420528158648, 1)","(1968, 0.755244415108711, 1)","(1253, 0.9615297001512867, 1)"
BH_n6_M11.csv,"(1250, 0.9800149552579918, 1)","(2132, 0.8276896139296613, 1)","(1368, 0.9773599528812584, 1)"
BH_n4_M11.csv,"(1247, 0.9812799946929852, 1)","(2100, 0.8252215878051761, 1)","(1377, 0.9801855822798232, 1)"
BH_n4_M9_Mpl9.csv,"(1283, 0.9754868612048836, 1)","(2069, 0.8288700229974963, 1)","(1368, 0.9734301999387559, 1)"
BH_n4_M8.csv,"(1217, 0.9577894670531373, 1)","(1937, 0.7153839471173284, 1)","(1218, 0.9522744711301279, 1)"
BH_n6_M10.csv,"(1225, 0.9741267787904366, 1)","(2039, 0.7955576500970745, 1)","(1301, 0.9696609287035884, 1)"
BH_n5_M8.csv,"(1167, 0.9567902573992522, 1)","(1935, 0.7167344822908819, 1)","(1227, 0.9500241463830541, 1)"
BH_n6_M12.csv,"(1343, 0.9839763067781577, 1)","(2182, 0.8532105077340342, 1)","(1387, 0.9832550347485007, 1)"
BlackMaxOutputFirstRun.csv,"(1196, 0.9641964196419642, 1)","(1932, 0.7340234023402341, 1)","(1253, 0.9588346222009588, 1)"
BlackMaxOutputFirstRun2.csv,"(1210, 0.9645964596459646, 1)","(1935, 0.7322232223222321, 1)","(1218, 0.9590314887344591, 1)"
