,PP13-Sphaleron-THR9-FRZ15-NB33-60-NSUBP50.csv,PP13-Sphaleron-THR9-FRZ15-NB0-NSUBPALL.csv,PP13-Sphaleron-THR9-FRZ15-NB33-71-NSUBP5.csv
BH_n5_M12.csv,"(24.5, 1.0, 0)","(10.5, 0.7808680211601557, 0)","(19.5, 0.9998446561723281, 0)"
BH_n5_M11.csv,"(24.5, 1.0, 0)","(10.5, 0.7738450409115056, 0)","(19.5, 0.9995971802618329, 0)"
BH_n5_M10.csv,"(24.5, 1.0, 0)","(10.5, 0.7757438991553192, 0)","(19.5, 0.99969960949234, 0)"
BH_n6_M8.csv,"(24.5, 1.0, 0)","(10.5, 0.8119013369543969, 0)","(19.5, 0.9998999699909974, 0)"
BH_n5_M9.csv,"(24.5, 1.0, 0)","(10.5, 0.7891945249107839, 0)","(19.5, 0.999699909972992, 0)"
BH_n4_M12.csv,"(24.5, 1.0, 0)","(10.5, 0.7646946377089188, 0)","(19.5, 0.9997916883657951, 0)"
BH_n4_M10.csv,"(24.5, 1.0, 0)","(10.5, 0.7605255726626095, 0)","(19.5, 0.9995492788461539, 0)"
BH_n6_M9.csv,"(24.5, 1.0, 0)","(10.5, 0.7995730862030335, 0)","(19.5, 0.9998499249624813, 0)"
BH_n4_M9.csv,"(24.5, 1.0, 0)","(10.5, 0.7772409388349611, 0)","(19.5, 0.9995498649594878, 0)"
BH_n6_M11.csv,"(24.5, 1.0, 0)","(10.5, 0.7872483381535782, 0)","(19.5, 0.9997481615795306, 0)"
BH_n4_M11.csv,"(24.5, 1.0, 0)","(10.5, 0.7599804596440835, 0)","(19.5, 0.9993455497382199, 0)"
BH_n4_M9_Mpl9.csv,"(24.5, 1.0, 0)","(9.5, 0.8824342572907657, 0)","(19.5, 1.0, 0)"
BH_n4_M8.csv,"(24.5, 1.0, 0)","(10.5, 0.7980971957120242, 0)","(19.5, 0.999849954986496, 0)"
BH_n6_M10.csv,"(24.5, 1.0, 0)","(10.5, 0.7877961131982054, 0)","(19.0, 0.9994992990186261, 0)"
BH_n5_M8.csv,"(24.5, 1.0, 0)","(10.5, 0.8037370279177884, 0)","(19.5, 0.9998999599839936, 0)"
BH_n6_M12.csv,"(24.5, 1.0, 0)","(10.5, 0.7977623270738579, 0)","(19.5, 0.9996888289596515, 0)"
BlackMaxOutputFirstRun.csv,"(24.5, 1.0, 0)","(10.5, 0.8296251959662859, 0)","(19.5, 1.0, 0)"
BlackMaxOutputFirstRun2.csv,"(24.5, 1.0, 0)","(10.5, 0.8304252759742867, 0)","(19.5, 1.0, 0)"
