,HT,met,phi_diff,ptmax,stuff_amount
0,5978.9400000000005,510.9,0.9505926535897933,873.42,31
1,6147.02,980.3,0.0,980.3,30
2,5265.219999999999,72.17,0.8400000000000001,610.42,30
3,5670.42,517.44,0.7025926535897931,694.22,32
4,5931.610000000001,509.43,2.646185307179586,645.89,30
5,6549.18,761.54,0.0,761.54,31
6,5687.490000000001,311.9,3.1199999999999997,626.07,31
7,6342.14,570.34,2.9499999999999997,928.27,20
8,6290.46,230.98,1.409,734.3,33
9,6283.8499999999985,329.69,2.224,916.75,30
10,6355.32,438.79,2.5741853071795866,631.17,30
11,5729.840000000001,217.0,1.1199999999999999,597.46,28
12,6541.45,376.05,0.832592653589793,857.17,34
13,5773.82,237.47,2.2991853071795862,942.5,27
14,5819.919999999999,253.07,0.766,663.95,27
15,6124.7,433.79,1.7911853071795862,755.47,24
16,7059.52,605.21,2.1461853071795858,710.34,32
17,5494.229999999999,517.98,0.9225926535897928,879.1,30
18,5271.03,360.35,1.967,507.5,28
19,7303.049999999999,778.0,2.142,1087.46,30
20,6333.35,361.23,0.45200000000000007,779.55,34
21,5756.41,226.14,1.4721853071795863,478.37,30
22,6505.0700000000015,231.89,0.11659265358979276,1089.13,28
23,6190.18,800.97,0.0,800.97,26
24,5880.709999999999,412.29,0.7865926535897931,1101.81,32
25,6022.959999999999,103.57,1.7670000000000001,595.7,30
26,6539.91,128.78,1.2775926535897932,666.92,32
27,5898.09,341.56,1.9531853071795862,518.63,31
28,5431.900000000001,684.34,0.0,684.34,29
29,8067.039999999999,369.2,0.7410000000000001,1122.11,27
30,6338.029999999999,194.07,0.19340734641020685,852.02,31
31,5246.34,894.15,0.0,894.15,26
32,6457.299999999999,559.82,2.444,1022.22,29
33,5885.179999999999,179.36,0.7930000000000001,742.8,29
34,5595.420000000001,206.63,1.4320000000000002,850.73,23
35,7237.799999999999,181.74,2.2935926535897933,775.01,29
36,7311.020000000001,230.51,2.516,826.37,31
37,5977.43,394.81,0.6515926535897929,582.32,35
38,5322.670000000001,135.71,1.1004073464102069,1057.8,27
39,6179.33,572.86,0.4001853071795862,681.3,26
40,5454.12,813.19,0.0,813.19,30
41,6935.379999999999,886.85,2.3120000000000003,1002.78,27
42,6061.47,848.47,0.0,848.47,27
43,6799.0999999999985,478.07,0.02740734641020648,629.52,31
44,6032.67,561.24,0.807592653589793,812.47,28
45,7813.34,423.64,1.8559999999999999,1073.93,32
46,6956.15,399.31,1.7030000000000003,999.99,26
47,6469.75,351.26,0.5555926535897928,1376.95,27
48,6911.580000000001,769.01,0.0,769.01,30
49,6692.57,161.83,2.5865926535897934,919.28,31
50,6531.7699999999995,515.46,0.09940734641020699,931.02,24
51,7433.25,235.51,2.655,1148.49,32
52,7217.610000000001,314.18,1.399592653589793,700.81,32
53,5536.31,221.2,2.9000000000000004,648.4,28
54,6364.7300000000005,454.07,3.077,855.09,29
55,6440.5199999999995,881.94,0.0,881.94,31
56,7107.009999999999,332.07,2.77,883.82,31
57,7675.1900000000005,549.78,2.8711853071795863,1022.45,24
58,6223.67,286.24,2.4491853071795866,524.12,27
59,7273.930000000001,682.57,2.3641853071795857,911.26,33
60,6938.39,765.93,0.3954073464102068,851.47,28
61,6839.26,166.17,0.02159265358979301,1175.13,29
62,6771.759999999999,289.44,2.7571853071795864,1215.45,25
63,6448.85,156.3,1.547592653589793,1021.49,27
64,7237.200000000001,490.68,0.6774073464102068,1116.9,29
65,5289.22,46.74,0.06759265358979327,595.42,28
66,6299.369999999999,352.52,1.0915926535897933,833.95,30
67,6836.93,152.18,2.037,1196.65,24
68,6396.779999999999,125.41,0.5665926535897929,906.25,27
69,7278.01,644.03,0.916592653589793,1036.45,24
70,5814.16,658.23,2.764185307179586,672.34,32
71,4847.07,436.69,0.04740734641020694,807.62,26
72,5657.049999999999,689.86,1.9980000000000002,755.36,29
73,5780.130000000001,384.66,0.957592653589793,730.4,31
74,6355.639999999999,252.03,2.841185307179586,544.9,28
75,6384.2699999999995,150.43,0.018592653589792896,880.98,28
76,6107.36,186.67,3.0065926535897933,494.4,31
77,6860.1,655.05,0.3425926535897932,937.33,29
78,6694.86,432.19,0.863,889.11,29
79,7427.57,646.56,2.198,1068.28,31
80,6299.240000000001,323.64,1.0050000000000001,819.94,28
81,6452.93,421.72,0.21159265358979296,707.58,32
82,6163.550000000001,224.14,0.8855926535897929,986.07,28
83,6898.170000000001,266.29,0.40800000000000003,1047.7,31
84,6497.82,189.46,0.2845926535897929,666.39,34
85,5959.820000000001,528.01,1.7411853071795864,836.8,29
86,5344.03,141.71,2.033,996.55,22
87,6063.64,300.43,2.184,599.82,33
88,6029.42,299.05,1.465592653589793,874.13,29
89,6632.13,382.96,0.618,854.08,33
90,4780.66,518.41,1.3775926535897929,629.13,26
91,6489.349999999999,289.95,0.555407346410207,862.53,27
92,6137.32,367.88,0.8585926535897932,797.55,34
93,5840.650000000001,183.32,0.7135926535897932,953.7,25
94,5363.5,251.38,1.3464073464102064,569.18,26
95,5602.35,390.03,0.47440734641020654,525.59,31
